account_id,market,first_order_at
12346,United Kingdom,2010-01-22 13:30:00
12347,Iceland,2011-01-26 14:30:00
12348,Finland,2011-04-05 10:47:00
12349,Italy,2010-04-29 13:20:00
12351,Unspecified,2010-11-29 15:23:00
12352,Norway,2010-11-12 10:20:00
12354,Spain,2011-04-21 13:11:00
12355,Bahrain,2010-05-21 11:59:00
12356,Portugal,2010-10-11 09:42:00
12358,Austria,2010-06-07 12:28:00
12359,Cyprus,2010-06-22 10:24:00
12360,Austria,2010-02-22 09:32:00
12361,Belgium,2011-02-25 13:51:00
12362,Belgium,2011-08-11 15:02:00
12363,Unspecified,2011-04-11 13:29:00
12364,Belgium,2011-08-19 15:24:00
12365,Cyprus,2011-02-21 14:04:00
12369,Austria,2010-03-08 08:09:00
12370,Austria,2010-02-09 09:41:00
12371,Switzerland,2010-03-04 18:25:00
12372,Denmark,2011-02-16 12:46:00
12373,Austria,2010-02-04 12:08:00
12374,Austria,2010-10-14 10:16:00
12375,Finland,2011-11-29 10:36:00
12376,Switzerland,2010-11-15 12:15:00
12377,Switzerland,2010-04-29 15:34:00
12380,Belgium,2010-03-03 12:53:00
12381,Norway,2011-08-12 09:57:00
12383,Belgium,2010-12-22 14:28:00
12384,Switzerland,2011-08-10 11:23:00
12387,Australia,2010-10-20 16:27:00
12388,Australia,2010-09-20 12:41:00
12389,Australia,2010-05-21 15:12:00
12391,Cyprus,2010-02-15 10:12:00
12392,Australia,2010-04-27 14:04:00
12393,Australia,2010-10-07 13:49:00
12395,Belgium,2010-08-02 12:37:00
12397,Belgium,2011-07-27 14:21:00
12398,Switzerland,2011-10-25 10:27:00
12399,Belgium,2011-03-23 09:42:00
12400,Australia,2010-10-21 13:45:00
12402,Belgium,2010-09-15 13:24:00
12403,Denmark,2011-10-21 10:51:00
12406,Denmark,2010-01-11 14:04:00
12407,Belgium,2011-03-20 13:21:00
12408,Belgium,2010-09-15 13:16:00
12409,Switzerland,2011-09-21 14:15:00
12410,Switzerland,2010-07-25 13:26:00
12412,Denmark,2010-11-02 17:02:00
12414,Austria,2010-09-02 13:47:00
12415,Australia,2010-10-21 09:49:00
12416,Australia,2010-02-21 10:19:00
12417,Belgium,2009-12-10 11:25:00
12418,Switzerland,2010-05-12 13:11:00
12419,Spain,2010-11-19 10:04:00
12421,Spain,2010-10-20 14:28:00
12422,Australia,2009-12-18 12:44:00
12423,Belgium,2010-11-17 11:33:00
12424,Australia,2010-06-09 15:15:00
12425,Portugal,2011-09-22 17:31:00
12427,Germany,2011-10-10 15:15:00
12428,Finland,2011-03-20 15:46:00
12429,Denmark,2010-09-24 14:15:00
12430,Norway,2011-10-27 15:09:00
12431,Belgium,2010-01-15 09:37:00
12432,Norway,2011-06-20 13:27:00
12433,Norway,2010-09-16 10:51:00
12435,Denmark,2009-12-02 13:58:00
12437,France,2009-12-02 16:24:00
