feature,count,nulls,mean,std,min,p25,p50,p75,max
f_hour,25806,0,12.911687,2.268497,7.0,11.0,13.0,15.0,19.0
f_dow,25806,0,2.532318,2.068805,0.0,1.0,2.0,4.0,6.0
f_month,25806,0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
f_week,25806,0,45.711307,1.210523,44.0,45.0,46.0,47.0,48.0
f_is_weekend,25806,0,0.179454,0.383732,0.0,0.0,0.0,0.0,1.0
f_days_since_epoch,25806,0,14.503914,8.445565,0.0,8.0,14.0,22.0,29.0
f_basket_lines,25806,0,93.505541,120.786202,1.0,24.0,46.0,88.0,487.0
f_basket_units,25806,0,447.688406,936.810576,1.0,130.0,253.0,513.0,13387.0
f_basket_value,25806,0,1167.106176,3409.461604,0.0,266.86,439.65,892.15,49844.99
f_line_share,25806,0,0.037046,0.081875,0.0,0.00569,0.016672,0.039603,1.0
f_sku_age_days,25806,0,272.977021,114.401228,0.0,217.0,341.0,351.0,364.0
f_sku_is_new,25806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_sku_orders,25806,0,137.633457,137.328938,1.0,48.0,101.0,184.0,1110.0
f_sku_units,25806,0,1636.067426,2595.654213,1.0,310.0,789.0,1926.0,19830.0
f_sku_mean_price,25806,0,4.085518,44.470152,0.001,1.38186,2.21558,3.956642,6706.71
f_account_tenure_days,25806,0,123.913276,139.793579,-1.0,0.0,36.0,270.0,361.0
f_account_known,25806,0,0.834186,0.371914,0.0,1.0,1.0,1.0,1.0
f_acct_orders,25806,0,157.357243,295.43126,0.0,25.0,74.0,162.0,1991.0
f_acct_units,25806,0,1506.855344,4442.799655,0.0,123.0,395.0,915.0,54302.0
f_rate_sku,25806,0,0.024196,0.02628,0.00162,0.007912,0.014909,0.029751,0.268875
f_rate_market,25806,0,0.0245,0.012188,0.004875,0.022891,0.022891,0.022891,0.216681
f_sku_price_dispersion,25806,0,1.380266,21.745089,0.0,0.219392,0.41072,0.72949,679.893825
f_seasonal,25806,0,0.020073,0.0,0.020073,0.020073,0.020073,0.020073,0.020073
f_sku_velocity,25806,0,6.230912,8.811051,0.000601,1.238764,3.340367,7.892531,70.75873
f_sku_price_range,25806,0,30.425851,796.977241,0.0,1.45,2.96,4.8,25111.09
f_peak_month,25806,0,9.762652,2.139747,1.0,8.0,11.0,11.0,12.0
f_in_peak_month,25806,0,0.613423,0.486965,0.0,0.0,1.0,1.0,1.0
f_basket_distinct_skus,25806,0,89.147059,118.383894,1.0,24.0,43.0,82.0,466.0
f_basket_max_line_share,25806,0,0.124989,0.10398,0.0,0.070024,0.099567,0.141218,1.0
f_basket_mean_line_value,25806,0,17.907564,57.224582,0.0,6.022453,9.343396,17.688205,6706.71
f_price_vs_sku_mean,25806,0,1.000364,0.344798,0.0,0.851692,0.915308,0.979523,7.097157
f_price_vs_market_mean,25806,0,0.884643,10.271172,0.0,0.30238,0.507999,0.907141,1622.382459
f_sku_days_since_trade,25806,0,2.249438,4.287683,0.0,0.0,0.0,2.0,29.0
f_account_days_since_order,25806,0,9.496822,9.047725,-1.0,1.0,7.0,16.0,29.0
f_acct_prior_returns,25806,0,4.395761,15.357166,0.0,0.0,0.0,2.0,120.0
f_sku_prior_returns,25806,0,3.699333,8.495213,0.0,0.0,1.0,4.0,83.0
f_acct_return_rate,25806,0,0.022288,0.034719,0.001636,0.005946,0.013396,0.024377,0.524086
f_sku_trade_days,25806,0,80.574324,57.13936,1.0,37.0,66.0,116.0,282.0
f_account_order_gap,25806,0,83.79957,54.425503,2.0,43.6,92.509733,92.509733,355.0
f_segment,25806,0,0.463071,1.066754,0.0,0.0,0.0,0.0,5.0
