line_id,f_hour,f_dow,f_month,f_week,f_is_weekend,f_days_since_epoch,f_basket_lines,f_basket_units,f_basket_value,f_line_share,f_sku_age_days,f_sku_is_new,f_sku_orders,f_sku_units,f_sku_mean_price,f_account_tenure_days,f_account_known,f_acct_orders,f_acct_units,f_rate_sku,f_rate_market,f_sku_price_dispersion,f_seasonal,f_sku_velocity,f_sku_price_range,f_peak_month,f_in_peak_month,f_basket_distinct_skus,f_basket_max_line_share,f_basket_mean_line_value,f_price_vs_sku_mean,f_price_vs_market_mean,f_sku_days_since_trade,f_account_days_since_order,f_acct_prior_returns,f_sku_prior_returns,f_acct_return_rate,f_sku_trade_days,f_account_order_gap,f_segment
L00414409,8,0,11,44,0,0,14,163.0,347.2,0.086406,201.0,0,38.0,300.0,1.727368,89.0,1,87.0,1000.0,0.06013,0.022891,0.617867,0.020073,1.289524,1.45,8.0,0,14.0,0.194412,24.8,0.723644,0.30238,1.0,29.0,3.0,3.0,0.032594,34.0,90.0,0
L00414410,8,0,11,44,0,0,14,163.0,347.2,0.044931,294.0,0,195.0,1553.0,2.033231,89.0,1,87.0,1000.0,0.002268,0.022891,0.213479,0.020073,4.826266,3.86,8.0,0,14.0,0.194412,24.8,0.959065,0.471714,0.0,29.0,3.0,0.0,0.032594,133.0,90.0,0
L00414411,8,0,11,44,0,0,14,163.0,347.2,0.053571,25.0,0,87.0,534.0,5.011954,89.0,1,87.0,1000.0,0.004556,0.022891,0.693249,0.020073,8.586957,5.07,8.0,0,14.0,0.194412,24.8,0.927782,1.124855,0.0,29.0,3.0,0.0,0.032594,40.0,90.0,0
L00414412,8,0,11,44,0,0,14,163.0,347.2,0.030242,55.0,0,44.0,1450.0,0.418182,89.0,1,87.0,1000.0,0.007618,0.022891,0.003554,0.020073,21.287879,0.08,8.0,0,14.0,0.194412,24.8,1.004348,0.1016,11.0,29.0,3.0,0.0,0.032594,27.0,90.0,0
L00414413,8,0,11,44,0,0,14,163.0,347.2,0.037442,334.0,0,169.0,2539.0,3.487278,89.0,1,87.0,1000.0,0.076654,0.022891,0.78526,0.020073,6.225915,4.16,8.0,0,14.0,0.194412,24.8,0.931959,0.786189,1.0,29.0,3.0,14.0,0.032594,110.0,90.0,0
L00414414,8,0,11,44,0,0,14,163.0,347.2,0.050979,334.0,0,1110.0,18505.0,3.011559,89.0,1,87.0,1000.0,0.057954,0.022891,0.296606,0.020073,48.551404,3.68,8.0,0,14.0,0.194412,24.8,0.979559,0.713618,0.0,29.0,3.0,65.0,0.032594,282.0,90.0,0
L00414415,8,0,11,44,0,0,14,163.0,347.2,0.030242,332.0,0,40.0,1000.0,0.418,89.0,1,87.0,1000.0,0.008126,0.022891,0.0039,0.020073,2.676471,0.08,8.0,0,14.0,0.194412,24.8,1.004785,0.1016,13.0,29.0,3.0,0.0,0.032594,37.0,90.0,0
L00414416,8,0,11,44,0,0,14,163.0,347.2,0.03629,35.0,0,34.0,149.0,2.286176,89.0,1,87.0,1000.0,0.027547,0.022891,0.339498,0.020073,1.8,2.11,8.0,0,14.0,0.194412,24.8,0.918564,0.507999,0.0,29.0,3.0,1.0,0.032594,27.0,90.0,0
L00414417,8,0,11,44,0,0,14,163.0,347.2,0.088134,14.0,0,27.0,105.0,8.962963,89.0,1,87.0,1000.0,0.09548,0.022891,2.339643,0.020073,2.485714,8.53,8.0,0,14.0,0.194412,24.8,0.853512,1.850568,0.0,29.0,3.0,4.0,0.032594,20.0,90.0,0
L00414418,8,0,11,44,0,0,14,163.0,347.2,0.030242,151.0,0,18.0,475.0,0.42,89.0,1,87.0,1000.0,0.01283,0.022891,0.0,0.020073,3.010563,0.0,8.0,0,14.0,0.194412,24.8,1.0,0.1016,20.0,29.0,3.0,0.0,0.032594,18.0,90.0,0
