line_id,order_id,sku,placed_at,risk_score,hold
L00414409,529995,22719,2010-11-01 08:56:00,0.053746,0
L00414410,529995,22367,2010-11-01 08:56:00,0.010865,0
L00414411,529995,22837,2010-11-01 08:56:00,0.012692,0
L00414412,529995,22959,2010-11-01 08:56:00,0.012046,0
L00414413,529995,71477,2010-11-01 08:56:00,0.057494,0
L00414414,529995,85123A,2010-11-01 08:56:00,0.059857,0
L00414415,529995,22052,2010-11-01 08:56:00,0.010653,0
L00414416,529995,22899,2010-11-01 08:56:00,0.022063,0
L00414417,529995,22781,2010-11-01 08:56:00,0.137826,1
L00414418,529995,22708,2010-11-01 08:56:00,0.013228,0
L00414419,529995,21523,2010-11-01 08:56:00,0.01195,0
L00414420,529995,48187,2010-11-01 08:56:00,0.014121,0
L00414421,529995,48184,2010-11-01 08:56:00,0.013615,0
L00414422,529995,22467,2010-11-01 08:56:00,0.160457,1
L00414423,529996,22636,2010-11-01 08:57:00,0.056604,0
L00414424,529996,21144,2010-11-01 08:57:00,0.043897,0
L00414425,529996,84569B,2010-11-01 08:57:00,0.020703,0
L00414426,529996,22582,2010-11-01 08:57:00,0.036555,0
L00414427,529996,22043,2010-11-01 08:57:00,0.020374,0
L00414428,529996,22044,2010-11-01 08:57:00,0.021858,0
L00414429,529996,22813,2010-11-01 08:57:00,0.020083,0
L00414430,529996,22816,2010-11-01 08:57:00,0.04355,0
L00414431,529996,20712,2010-11-01 08:57:00,0.020101,0
L00414432,529996,22663,2010-11-01 08:57:00,0.018646,0
L00414433,529996,84969,2010-11-01 08:57:00,0.017127,0
L00414434,529996,22839,2010-11-01 08:57:00,0.105904,1
L00414435,529996,85114A,2010-11-01 08:57:00,0.023736,0
L00414436,529996,22195,2010-11-01 08:57:00,0.017175,0
L00414437,529996,21491,2010-11-01 08:57:00,0.034311,0
L00414438,529996,22659,2010-11-01 08:57:00,0.047791,0
L00414439,529996,22264,2010-11-01 08:57:00,0.018379,0
L00414440,529996,22043,2010-11-01 08:57:00,0.018919,0
L00414441,529996,22044,2010-11-01 08:57:00,0.020285,0
L00414442,529996,22666,2010-11-01 08:57:00,0.048326,0
L00414443,529997,82494L,2010-11-01 08:58:00,0.034645,0
L00414444,529997,16161P,2010-11-01 08:58:00,0.015309,0
L00414445,529997,22427,2010-11-01 08:58:00,0.030791,0
L00414446,529997,21949,2010-11-01 08:58:00,0.028063,0
L00414447,529997,22959,2010-11-01 08:58:00,0.019245,0
L00414448,529998,M,2010-11-01 09:09:00,0.099499,1
L00414488,530000,21257,2010-11-01 09:13:00,0.025964,0
L00414490,530000,84970s,2010-11-01 09:13:00,0.022206,0
L00414491,530000,82583,2010-11-01 09:13:00,0.020719,0
L00414492,530000,72807c,2010-11-01 09:13:00,0.017425,0
L00414493,530000,72349b,2010-11-01 09:13:00,0.021745,0
L00414494,530000,48194,2010-11-01 09:13:00,0.017477,0
L00414496,530000,22752,2010-11-01 09:13:00,0.380443,1
L00414497,530000,84993a,2010-11-01 09:13:00,0.026281,0
L00414498,530000,22668,2010-11-01 09:13:00,0.022611,0
L00414499,530000,22629,2010-11-01 09:13:00,0.024387,0
L00414500,530000,22502,2010-11-01 09:13:00,0.077787,0
L00414501,530000,22374,2010-11-01 09:13:00,0.015671,0
L00414502,530000,22366,2010-11-01 09:13:00,0.01411,0
L00414503,530000,22196,2010-11-01 09:13:00,0.021191,0
L00414504,530000,22173,2010-11-01 09:13:00,0.019385,0
L00414505,530000,22073,2010-11-01 09:13:00,0.056616,0
L00414506,530000,22659,2010-11-01 09:13:00,0.045448,0
L00414507,530000,85035b,2010-11-01 09:13:00,0.023322,0
L00414508,530000,35400,2010-11-01 09:13:00,0.152881,1
L00414509,530000,DOT,2010-11-01 09:13:00,0.463913,1
L00414510,530000,85048,2010-11-01 09:13:00,0.078367,0
L00414511,530000,22041,2010-11-01 09:13:00,0.020721,0
L00414512,530000,21888,2010-11-01 09:13:00,0.053721,0
L00414513,530000,21658,2010-11-01 09:13:00,0.3449,1
L00414514,530000,21558,2010-11-01 09:13:00,0.023526,0
L00414515,530000,21547,2010-11-01 09:13:00,0.0165,0
L00414516,530000,21218,2010-11-01 09:13:00,0.035804,0
L00414517,530000,21179,2010-11-01 09:13:00,0.016272,0
L00414519,530000,21169,2010-11-01 09:13:00,0.019531,0
L00414520,530000,21166,2010-11-01 09:13:00,0.022103,0
L00414521,530000,21155,2010-11-01 09:13:00,0.018613,0
L00414522,530000,21086,2010-11-01 09:13:00,0.016819,0
L00414523,530000,21041,2010-11-01 09:13:00,0.020097,0
L00414524,530000,21035,2010-11-01 09:13:00,0.018292,0
L00414525,530000,20871,2010-11-01 09:13:00,0.024493,0
L00414526,530000,18098c,2010-11-01 09:13:00,0.016804,0
L00414527,530000,21174,2010-11-01 09:13:00,0.01748,0
L00414528,530003,22121,2010-11-01 09:14:00,0.016949,0
L00414529,530003,22166,2010-11-01 09:14:00,0.015373,0
L00414530,530003,22195,2010-11-01 09:14:00,0.016599,0
L00414531,530003,22300,2010-11-01 09:14:00,0.031867,0
L00414532,530003,22457,2010-11-01 09:14:00,0.040719,0
L00414533,530002,82597,2010-11-01 09:14:00,0.049152,0
L00414534,530003,22629,2010-11-01 09:14:00,0.024596,0
L00414535,530003,72741,2010-11-01 09:14:00,0.022461,0
L00414536,530003,22807,2010-11-01 09:14:00,0.047404,0
L00414537,530003,22845,2010-11-01 09:14:00,0.020339,0
L00414538,530003,35400,2010-11-01 09:14:00,0.156246,1
L00414539,530003,82583,2010-11-01 09:14:00,0.022248,0
L00414540,530003,82599,2010-11-01 09:14:00,0.01584,0
L00414541,530003,84029G,2010-11-01 09:14:00,0.022975,0
L00414542,530003,84985a,2010-11-01 09:14:00,0.02661,0
