feature,count,nulls,mean,std,min,p25,p50,p75,max
f_hour,21280,0,9.974624,7.75248,0.0,3.0,7.0,17.0,23.0
f_dow,21280,0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
f_month,21280,0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
f_is_weekend,21280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_days_into_period,21280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f_gender,21280,0,0.701645,0.457536,0.0,0.0,1.0,1.0,1.0
f_age_band,21280,0,28.492904,12.947945,1.0,18.0,25.0,35.0,56.0
f_occupation,21280,0,7.961513,7.192426,0.0,1.0,5.0,15.0,20.0
f_region,21280,0,5.850658,3.262637,0.0,3.0,7.0,9.0,9.0
f_release_year,21280,0,1987.12016,14.489842,1919.0,1984.0,1993.0,1997.0,2000.0
f_film_age_years,21280,0,12.87984,14.489842,0.0,3.0,7.0,16.0,81.0
f_genre_count,21280,0,2.10188,0.965795,1.0,1.0,2.0,3.0,6.0
f_is_multi_genre,21280,0,0.695677,0.46012,0.0,0.0,1.0,1.0,1.0
f_mbr_prior_ratings,21280,0,181.953994,174.120157,0.0,51.0,130.0,254.0,864.0
f_mbr_prior_likes,21280,0,96.89093,95.595674,0.0,29.0,70.0,126.0,587.0
f_mbr_like_rate,21280,0,0.571148,0.160029,0.124815,0.472098,0.584607,0.690663,0.946732
f_mbr_mean_stars,21280,0,3.569453,0.516928,1.0,3.274615,3.630332,3.923077,5.0
f_mbr_tenure_days,21280,0,0.661664,3.074738,0.0,0.0,0.0,1.0,174.0
f_mbr_ratings_per_day,21280,0,158.075824,148.253684,0.468468,51.875,116.5,212.0,864.0
f_mbr_is_new,21280,0,0.013628,0.11594,0.0,0.0,0.0,0.0,1.0
f_film_prior_ratings,21280,0,557.536043,492.502998,0.0,193.0,413.0,776.25,2620.0
f_film_prior_likes,21280,0,367.28515,404.794622,0.0,84.0,229.0,494.0,2198.0
f_film_like_rate,21280,0,0.571031,0.194019,0.079017,0.431018,0.595757,0.726712,0.92491
f_film_mean_stars,21280,0,3.551109,0.564824,1.0,3.221916,3.650121,3.960192,5.0
f_film_days_on_shelf,21280,0,204.123186,22.039112,0.0,209.0,210.0,210.0,211.0
f_film_is_new,21280,0,0.000517,0.02273,0.0,0.0,0.0,0.0,1.0
f_genre_prior_ratings,21280,0,43.245818,51.728547,0.0,6.0,24.0,62.0,332.0
f_genre_like_rate,21280,0,0.579419,0.141144,0.122781,0.499465,0.58173,0.66631,0.908741
f_mbr_stars_spread,21280,0,1.02172,0.213029,0.0,0.87797,1.00222,1.136469,1.872679
f_film_stars_spread,21280,0,0.976699,0.12234,0.0,0.894327,0.969061,1.052132,2.0
f_mbr_recent_rate,21280,0,0.540772,0.25629,0.0,0.35,0.55,0.75,1.0
f_mbr_days_since_prev,21280,0,-1720673541841.3237,13443385336397.375,-106751991167300.64,0.000313,0.000463,0.000741,58.31059
f_occupation_rate,21280,0,0.577303,0.022984,0.521993,0.56441,0.575766,0.583566,0.647178
f_age_band_rate,21280,0,0.580846,0.022232,0.564425,0.566582,0.566582,0.595411,0.641146
f_region_rate,21280,0,0.583077,0.014022,0.553972,0.582548,0.587782,0.587782,0.603908
f_mbr_vs_portfolio,21280,0,-0.010581,0.160029,-0.456915,-0.109632,0.002877,0.108933,0.365003
f_film_vs_portfolio,21280,0,-0.010699,0.194019,-0.502712,-0.150712,0.014028,0.144982,0.34318
f_mbr_stars_vs_portfolio,21280,0,-0.029585,0.516928,-2.599038,-0.324423,0.031294,0.324039,1.400962
f_genre_vs_member,21280,0,0.008271,0.100491,-0.409748,-0.050868,0.00419,0.061506,0.546954
