rating_id,f_hour,f_dow,f_month,f_is_weekend,f_days_into_period,f_gender,f_age_band,f_occupation,f_region,f_release_year,f_film_age_years,f_genre_count,f_is_multi_genre,f_mbr_prior_ratings,f_mbr_prior_likes,f_mbr_like_rate,f_mbr_mean_stars,f_mbr_tenure_days,f_mbr_ratings_per_day,f_mbr_is_new,f_film_prior_ratings,f_film_prior_likes,f_film_like_rate,f_film_mean_stars,f_film_days_on_shelf,f_film_is_new,f_genre_prior_ratings,f_genre_like_rate,f_mbr_stars_spread,f_film_stars_spread,f_mbr_recent_rate,f_mbr_days_since_prev,f_occupation_rate,f_age_band_rate,f_region_rate,f_mbr_vs_portfolio,f_film_vs_portfolio,f_mbr_stars_vs_portfolio,f_genre_vs_member
R00695198,0,2,11,0,0,1,25,17,0,1969.0,31.0,1,0,477.0,299.0,0.625728,3.748428,0.0,477.0,0,184.0,148.0,0.790718,4.097826,209.0,0,3.0,0.53205,1.403657,0.995204,0.25,0.00037,0.583566,0.566582,0.603908,0.043998,0.208988,0.14939,-0.093677
R00695199,0,2,11,0,0,1,35,17,9,1993.0,7.0,2,1,134.0,48.0,0.376581,2.992537,1.0,134.0,0,61.0,1.0,0.109325,1.622951,209.0,0,81.0,0.365384,1.248858,0.813088,0.3,1.2e-05,0.583566,0.595411,0.587782,-0.205149,-0.472404,-0.606501,-0.011196
R00695200,0,2,11,0,0,1,35,17,9,1984.0,16.0,2,1,134.0,48.0,0.376581,2.992537,1.0,134.0,0,202.0,57.0,0.298976,2.960396,182.0,0,81.0,0.365384,1.248858,0.999215,0.3,1.2e-05,0.583566,0.595411,0.587782,-0.205149,-0.282754,-0.606501,-0.011196
R00695201,0,2,11,0,0,0,1,10,1,1986.0,14.0,3,1,78.0,51.0,0.644231,3.769231,0.0,78.0,0,690.0,331.0,0.481454,3.353623,210.0,0,20.0,0.624399,0.830864,1.042375,0.5,0.00044,0.56441,0.574904,0.58581,0.062501,-0.100276,0.170193,-0.019832
R00695202,0,2,11,0,0,1,25,17,0,1969.0,31.0,1,0,478.0,300.0,0.626491,3.751046,0.0,478.0,0,126.0,96.0,0.746237,4.063492,209.0,0,4.0,0.561297,1.403354,0.973832,0.3,0.000382,0.583566,0.566582,0.603908,0.044762,0.164508,0.152008,-0.065194
R00695203,0,2,11,0,0,1,25,17,0,1992.0,8.0,1,0,478.0,300.0,0.626491,3.751046,0.0,478.0,0,694.0,544.0,0.780426,4.087896,209.0,0,4.0,0.561297,1.403354,0.949472,0.3,0.000382,0.583566,0.566582,0.603908,0.044762,0.198696,0.152008,-0.065194
R00695204,0,2,11,0,0,1,25,17,0,1965.0,35.0,1,0,478.0,300.0,0.626491,3.751046,0.0,478.0,0,249.0,181.0,0.720233,3.875502,182.0,0,4.0,0.561297,1.403354,0.885267,0.3,0.000382,0.583566,0.566582,0.603908,0.044762,0.138503,0.152008,-0.065194
R00695205,0,2,11,0,0,1,35,12,9,1990.0,10.0,1,0,171.0,98.0,0.573665,3.573099,0.0,171.0,0,450.0,287.0,0.636322,3.78,209.0,0,23.0,0.856593,1.184294,0.834293,0.95,0.00022,0.609999,0.595411,0.587782,-0.008064,0.054592,-0.025939,0.282928
R00695206,0,2,11,0,0,1,18,19,9,1967.0,33.0,2,1,34.0,24.0,0.673495,4.0,0.0,34.0,0,673.0,568.0,0.839388,4.2526,210.0,0,6.0,0.610042,0.907485,0.789095,0.6,0.000359,0.535934,0.564425,0.587782,0.091765,0.257658,0.400962,-0.063453
R00695207,0,2,11,0,0,1,18,19,9,1984.0,16.0,3,1,34.0,24.0,0.673495,4.0,0.0,34.0,0,826.0,665.0,0.801886,4.182809,209.0,0,6.0,0.610042,0.907485,0.965128,0.6,0.000359,0.535934,0.564425,0.587782,0.091765,0.220157,0.400962,-0.063453
R00695208,0,2,11,0,0,1,18,19,9,1998.0,2.0,2,1,34.0,24.0,0.673495,4.0,0.0,34.0,0,17.0,9.0,0.551061,3.470588,193.0,0,6.0,0.610042,0.907485,1.333622,0.6,0.000359,0.535934,0.564425,0.587782,0.091765,-0.030669,0.400962,-0.063453
R00695209,0,2,11,0,0,1,18,19,9,1973.0,27.0,2,1,34.0,24.0,0.673495,4.0,0.0,34.0,0,722.0,550.0,0.758829,4.056787,210.0,0,6.0,0.610042,0.907485,0.824379,0.6,0.000359,0.535934,0.564425,0.587782,0.091765,0.1771,0.400962,-0.063453
R00695210,0,2,11,0,0,0,25,1,9,1998.0,2.0,4,1,74.0,51.0,0.674195,3.824324,0.0,74.0,0,792.0,368.0,0.466394,3.236111,209.0,0,19.0,0.612282,1.044394,1.198087,0.65,0.000405,0.578805,0.566582,0.587782,0.092465,-0.115336,0.225286,-0.061912
R00695211,0,2,11,0,0,0,35,0,9,1982.0,18.0,2,1,51.0,39.0,0.729853,4.294118,0.0,51.0,0,1346.0,1137.0,0.842401,4.322437,209.0,0,8.0,0.749038,0.913818,0.841027,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.260671,0.69508,0.019185
R00695212,0,2,11,0,0,0,35,0,9,1950.0,50.0,1,0,51.0,39.0,0.729853,4.294118,0.0,51.0,0,344.0,316.0,0.907249,4.526163,209.0,0,8.0,0.749038,0.913818,0.672907,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.32552,0.69508,0.019185
R00695213,0,2,11,0,0,0,35,0,9,1947.0,53.0,2,1,51.0,39.0,0.729853,4.294118,0.0,51.0,0,26.0,17.0,0.631073,3.730769,201.0,0,4.0,0.623797,0.913818,0.857442,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.049343,0.69508,-0.106056
R00695214,0,2,11,0,0,0,35,0,9,1958.0,42.0,3,1,51.0,39.0,0.729853,4.294118,0.0,51.0,0,346.0,287.0,0.821175,4.274566,209.0,0,4.0,0.623797,0.913818,0.844767,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.239446,0.69508,-0.106056
R00695215,0,2,11,0,0,0,35,0,9,1974.0,26.0,3,1,51.0,39.0,0.729853,4.294118,0.0,51.0,0,874.0,749.0,0.853251,4.347826,210.0,0,8.0,0.749038,0.913818,0.800644,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.271522,0.69508,0.019185
R00695216,0,2,11,0,0,0,35,0,9,1962.0,38.0,2,1,51.0,39.0,0.729853,4.294118,0.0,51.0,0,552.0,476.0,0.856349,4.351449,209.0,0,8.0,0.749038,0.913818,0.77298,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.274619,0.69508,0.019185
R00695217,0,2,11,0,0,0,35,0,9,1997.0,3.0,4,1,51.0,39.0,0.729853,4.294118,0.0,51.0,0,1698.0,1400.0,0.822796,4.218492,210.0,0,4.0,0.623797,0.913818,0.841342,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.241066,0.69508,-0.106056
R00695218,0,2,11,0,0,0,35,0,9,1956.0,44.0,2,1,51.0,39.0,0.729853,4.294118,0.0,51.0,0,86.0,73.0,0.81613,4.209302,209.0,0,4.0,0.623797,0.913818,0.79411,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.2344,0.69508,-0.106056
R00695219,0,2,11,0,0,0,35,0,9,1984.0,16.0,2,1,51.0,39.0,0.729853,4.294118,0.0,51.0,0,445.0,377.0,0.84022,4.220225,183.0,0,3.0,0.53205,0.913818,0.810629,0.65,0.00162,0.551976,0.595411,0.587782,0.148124,0.258491,0.69508,-0.197803
R00695220,0,2,11,0,0,1,18,4,0,1995.0,5.0,3,1,493.0,248.0,0.504912,3.279919,2.0,246.5,0,713.0,487.0,0.681353,3.809257,209.0,0,126.0,0.586817,1.317206,0.825657,0.15,0.000926,0.575766,0.564425,0.603908,-0.076817,0.099623,-0.319119,0.081905
R00695221,0,2,11,0,0,1,18,4,0,1993.0,7.0,1,0,493.0,248.0,0.504912,3.279919,2.0,246.5,0,305.0,177.0,0.580381,3.619672,209.0,0,66.0,0.435651,1.317206,0.964759,0.15,0.000926,0.575766,0.564425,0.603908,-0.076817,-0.001349,-0.319119,-0.069262
R00695222,0,2,11,0,0,0,1,10,1,1988.0,12.0,1,0,79.0,51.0,0.637151,3.746835,0.0,79.0,0,171.0,45.0,0.284048,2.725146,209.0,0,28.0,0.524519,0.848951,1.179954,0.5,0.000463,0.56441,0.574904,0.58581,0.055421,-0.297682,0.147797,-0.112632
R00695223,0,2,11,0,0,1,25,12,9,1995.0,5.0,3,1,87.0,19.0,0.262432,2.655172,0.0,87.0,0,624.0,340.0,0.545567,3.533654,209.0,0,26.0,0.341599,1.182512,0.870909,0.3,0.000752,0.609999,0.566582,0.587782,-0.319298,-0.036163,-0.943866,0.079167
R00695224,0,2,11,0,0,1,25,12,9,1993.0,7.0,2,1,87.0,19.0,0.262432,2.655172,0.0,87.0,0,681.0,475.0,0.695499,3.82232,209.0,0,26.0,0.341599,1.182512,0.790454,0.3,0.000752,0.609999,0.566582,0.587782,-0.319298,0.113769,-0.943866,0.079167
R00695225,0,2,11,0,0,1,25,12,9,1997.0,3.0,2,1,87.0,19.0,0.262432,2.655172,0.0,87.0,0,992.0,608.0,0.612531,3.648185,209.0,0,26.0,0.341599,1.182512,1.099953,0.3,0.000752,0.609999,0.566582,0.587782,-0.319298,0.030801,-0.943866,0.079167
R00695226,0,2,11,0,0,1,25,12,9,1997.0,3.0,4,1,87.0,19.0,0.262432,2.655172,0.0,87.0,0,1879.0,1230.0,0.654141,3.755721,209.0,0,26.0,0.341599,1.182512,0.922452,0.3,0.000752,0.609999,0.566582,0.587782,-0.319298,0.072411,-0.943866,0.079167
R00695227,0,2,11,0,0,1,25,12,9,1998.0,2.0,3,1,87.0,19.0,0.262432,2.655172,0.0,87.0,0,648.0,416.0,0.64088,3.802469,209.0,0,26.0,0.341599,1.182512,0.941758,0.3,0.000752,0.609999,0.566582,0.587782,-0.319298,0.05915,-0.943866,0.079167
R00695228,0,2,11,0,0,1,25,12,9,1998.0,2.0,3,1,87.0,19.0,0.262432,2.655172,0.0,87.0,0,575.0,313.0,0.545112,3.546087,209.0,0,26.0,0.341599,1.182512,0.973143,0.3,0.000752,0.609999,0.566582,0.587782,-0.319298,-0.036618,-0.943866,0.079167
R00695229,0,2,11,0,0,1,25,12,9,1998.0,2.0,2,1,87.0,19.0,0.262432,2.655172,0.0,87.0,0,703.0,446.0,0.63354,3.705548,209.0,0,26.0,0.341599,1.182512,0.911479,0.3,0.000752,0.609999,0.566582,0.587782,-0.319298,0.05181,-0.943866,0.079167
R00695230,0,2,11,0,0,1,25,17,0,1985.0,15.0,1,0,481.0,303.0,0.628764,3.758836,0.0,481.0,0,243.0,168.0,0.686199,3.786008,209.0,0,7.0,0.630566,1.402422,0.833636,0.45,0.000255,0.583566,0.566582,0.603908,0.047034,0.104469,0.159798,0.001802
R00695231,0,2,11,0,0,1,25,17,0,1972.0,28.0,1,0,481.0,303.0,0.628764,3.758836,0.0,481.0,0,244.0,176.0,0.714769,3.868852,209.0,0,7.0,0.630566,1.402422,0.877317,0.45,0.000255,0.583566,0.566582,0.603908,0.047034,0.133039,0.159798,0.001802
R00695232,0,2,11,0,0,1,25,17,0,1976.0,24.0,1,0,481.0,303.0,0.628764,3.758836,0.0,481.0,0,282.0,210.0,0.73803,4.021277,209.0,0,7.0,0.630566,1.402422,0.894967,0.45,0.000255,0.583566,0.566582,0.603908,0.047034,0.1563,0.159798,0.001802
R00695233,0,2,11,0,0,1,18,4,9,1997.0,3.0,2,1,835.0,431.0,0.517097,3.506587,1.0,835.0,0,90.0,12.0,0.186086,2.222222,209.0,0,187.0,0.552667,1.061416,1.15256,0.3,0.0011,0.575766,0.564425,0.587782,-0.064633,-0.395644,-0.092451,0.035571
R00695234,0,2,11,0,0,0,25,1,9,1991.0,9.0,2,1,75.0,52.0,0.67794,3.84,0.0,75.0,0,509.0,168.0,0.335856,3.023576,209.0,0,19.0,0.612282,1.046136,1.078197,0.6,0.000451,0.578805,0.566582,0.587782,0.09621,-0.245874,0.240962,-0.065657
R00695235,0,2,11,0,0,0,1,10,1,1984.0,16.0,2,1,80.0,52.0,0.641095,3.75,0.0,80.0,0,203.0,57.0,0.297585,2.960591,182.0,0,29.0,0.536116,0.844097,0.996755,0.45,0.00037,0.56441,0.574904,0.58581,0.059365,-0.284145,0.150962,-0.104979
R00695236,0,2,11,0,0,1,18,19,9,1938.0,62.0,1,0,38.0,27.0,0.679615,3.973684,0.0,38.0,0,297.0,235.0,0.783109,4.188552,210.0,0,10.0,0.635489,0.873193,0.94181,0.55,0.000312,0.535934,0.564425,0.587782,0.097885,0.201379,0.374646,-0.044126
R00695237,0,2,11,0,0,1,18,19,9,1999.0,1.0,1,0,38.0,27.0,0.679615,3.973684,0.0,38.0,0,1077.0,813.0,0.752967,3.950789,209.0,0,10.0,0.635489,0.873193,0.922429,0.55,0.000312,0.535934,0.564425,0.587782,0.097885,0.171237,0.374646,-0.044126
R00695238,0,2,11,0,0,1,18,4,0,1983.0,17.0,2,1,495.0,248.0,0.502921,3.278788,2.0,247.5,0,454.0,219.0,0.484937,3.436123,209.0,0,127.0,0.582595,1.314663,0.859832,0.15,0.000278,0.575766,0.564425,0.603908,-0.078809,-0.096793,-0.32025,0.079675
R00695239,0,2,11,0,0,1,35,17,9,1976.0,24.0,1,0,136.0,48.0,0.371492,2.992647,1.0,136.0,0,43.0,10.0,0.308741,2.72093,209.0,0,83.0,0.357692,1.239641,0.972304,0.25,0.000451,0.583566,0.595411,0.587782,-0.210238,-0.272989,-0.606391,-0.013799
R00695240,0,2,11,0,0,1,35,17,9,1988.0,12.0,1,0,136.0,48.0,0.371492,2.992647,1.0,136.0,0,83.0,20.0,0.284008,2.373494,209.0,0,83.0,0.357692,1.239641,1.267868,0.25,0.000451,0.583566,0.595411,0.587782,-0.210238,-0.297722,-0.606391,-0.013799
R00695241,0,2,11,0,0,1,35,17,9,1986.0,14.0,2,1,136.0,48.0,0.371492,2.992647,1.0,136.0,0,131.0,21.0,0.19567,2.450382,209.0,0,83.0,0.357692,1.239641,1.027958,0.25,0.000451,0.583566,0.595411,0.587782,-0.210238,-0.38606,-0.606391,-0.013799
R00695242,0,2,11,0,0,1,35,17,9,1998.0,2.0,1,0,136.0,48.0,0.371492,2.992647,1.0,136.0,0,130.0,40.0,0.33085,2.838462,209.0,0,83.0,0.357692,1.239641,1.194886,0.25,0.000451,0.583566,0.595411,0.587782,-0.210238,-0.250879,-0.606391,-0.013799
R00695243,0,2,11,0,0,1,35,17,9,1974.0,26.0,1,0,136.0,48.0,0.371492,2.992647,1.0,136.0,0,173.0,84.0,0.491788,3.260116,209.0,0,83.0,0.357692,1.239641,1.297607,0.25,0.000451,0.583566,0.595411,0.587782,-0.210238,-0.089942,-0.606391,-0.013799
R00695244,0,2,11,0,0,1,35,17,9,1986.0,14.0,2,1,136.0,48.0,0.371492,2.992647,1.0,136.0,0,50.0,13.0,0.32227,2.74,208.0,0,7.0,0.577935,1.239641,1.1456,0.25,0.000451,0.583566,0.595411,0.587782,-0.210238,-0.259459,-0.606391,0.206443
R00695245,0,2,11,0,0,1,35,17,9,1978.0,22.0,1,0,136.0,48.0,0.371492,2.992647,1.0,136.0,0,52.0,13.0,0.312199,2.884615,175.0,0,83.0,0.357692,1.239641,1.049796,0.25,0.000451,0.583566,0.595411,0.587782,-0.210238,-0.26953,-0.606391,-0.013799
R00695246,0,2,11,0,0,1,35,17,9,1988.0,12.0,1,0,136.0,48.0,0.371492,2.992647,1.0,136.0,0,82.0,16.0,0.244476,2.536585,114.0,0,83.0,0.357692,1.239641,1.128296,0.25,0.000451,0.583566,0.595411,0.587782,-0.210238,-0.337254,-0.606391,-0.013799
R00695247,0,2,11,0,0,1,25,17,0,1994.0,6.0,3,1,484.0,305.0,0.628993,3.760331,0.0,484.0,0,548.0,292.0,0.533894,3.518248,209.0,0,168.0,0.572115,1.402623,0.973009,0.5,0.000289,0.583566,0.566582,0.603908,0.047264,-0.047836,0.161293,-0.056878
R00695248,0,2,11,0,0,1,25,17,0,1993.0,7.0,1,0,484.0,305.0,0.628993,3.760331,0.0,484.0,0,394.0,270.0,0.682219,3.898477,209.0,0,10.0,0.635489,1.402623,1.049461,0.5,0.000289,0.583566,0.566582,0.603908,0.047264,0.100489,0.161293,0.006496
R00695249,0,2,11,0,0,1,25,17,0,1969.0,31.0,2,1,484.0,305.0,0.628993,3.760331,0.0,484.0,0,247.0,162.0,0.652435,3.785425,209.0,0,32.0,0.454108,1.402623,0.93866,0.5,0.000289,0.583566,0.566582,0.603908,0.047264,0.070706,0.161293,-0.174885
R00695250,0,2,11,0,0,1,25,17,0,1973.0,27.0,1,0,484.0,305.0,0.628993,3.760331,0.0,484.0,0,152.0,97.0,0.634029,3.690789,182.0,0,10.0,0.635489,1.402623,0.836924,0.5,0.000289,0.583566,0.566582,0.603908,0.047264,0.052299,0.161293,0.006496
R00695251,0,2,11,0,0,1,18,19,9,1980.0,20.0,1,0,40.0,29.0,0.691938,3.975,0.0,40.0,0,1185.0,866.0,0.729307,3.961181,210.0,0,12.0,0.665865,0.851102,0.992042,0.65,0.000255,0.535934,0.564425,0.587782,0.110208,0.147577,0.375962,-0.026073
R00695252,0,2,11,0,0,1,25,12,9,1994.0,6.0,4,1,94.0,20.0,0.254535,2.648936,0.0,94.0,0,987.0,590.0,0.597578,3.659574,209.0,0,33.0,0.310683,1.16425,0.929979,0.15,0.000394,0.609999,0.566582,0.587782,-0.327194,0.015849,-0.950102,0.056148
R00695253,0,2,11,0,0,1,25,12,9,1990.0,10.0,2,1,94.0,20.0,0.254535,2.648936,0.0,94.0,0,807.0,443.0,0.549427,3.561338,209.0,0,33.0,0.310683,1.16425,0.950258,0.15,0.000394,0.609999,0.566582,0.587782,-0.327194,-0.032303,-0.950102,0.056148
R00695254,0,2,11,0,0,1,25,12,9,1997.0,3.0,3,1,94.0,20.0,0.254535,2.648936,0.0,94.0,0,1027.0,538.0,0.524524,3.403116,209.0,0,33.0,0.310683,1.16425,1.130747,0.15,0.000394,0.609999,0.566582,0.587782,-0.327194,-0.057205,-0.950102,0.056148
R00695255,0,2,11,0,0,1,25,12,9,1999.0,1.0,1,0,94.0,20.0,0.254535,2.648936,0.0,94.0,0,323.0,223.0,0.68651,3.839009,206.0,0,22.0,0.411199,1.16425,0.994767,0.15,0.000394,0.609999,0.566582,0.587782,-0.327194,0.10478,-0.950102,0.156663
R00695256,0,2,11,0,0,1,18,4,9,1995.0,5.0,3,1,836.0,431.0,0.516487,3.504785,1.0,836.0,0,397.0,199.0,0.50362,3.443325,209.0,0,188.0,0.549904,1.062058,0.941587,0.3,0.000694,0.575766,0.564425,0.587782,-0.065243,-0.078109,-0.094253,0.033417
R00695257,0,2,11,0,0,1,1,10,4,1994.0,6.0,3,1,38.0,10.0,0.339615,2.815789,0.0,38.0,0,162.0,46.0,0.304487,2.925926,206.0,0,2.0,0.570054,0.969407,1.015653,0.15,0.139375,0.56441,0.574904,0.567586,-0.242115,-0.277243,-0.783249,0.230439
R00695258,0,2,11,0,0,1,1,10,4,1970.0,30.0,2,1,38.0,10.0,0.339615,2.815789,0.0,38.0,0,466.0,394.0,0.838872,4.272532,209.0,0,0.0,0.58173,0.969407,0.808204,0.15,0.139375,0.56441,0.574904,0.567586,-0.242115,0.257142,-0.783249,0.242115
R00695259,0,2,11,0,0,0,1,10,1,1981.0,19.0,1,0,81.0,53.0,0.644954,3.765432,0.0,81.0,0,137.0,39.0,0.308596,2.79562,209.0,0,30.0,0.547161,0.85015,1.20303,0.45,0.000463,0.56441,0.574904,0.58581,0.063225,-0.273134,0.166394,-0.097793
R00695260,0,2,11,0,0,0,1,10,1,1983.0,17.0,2,1,81.0,53.0,0.644954,3.765432,0.0,81.0,0,174.0,41.0,0.257961,2.781609,209.0,0,30.0,0.547161,0.85015,1.076662,0.45,0.000463,0.56441,0.574904,0.58581,0.063225,-0.323769,0.166394,-0.097793
R00695261,0,2,11,0,0,1,35,12,9,1995.0,5.0,2,1,172.0,99.0,0.575982,3.575581,0.0,172.0,0,577.0,439.0,0.757183,4.013865,210.0,0,24.0,0.860577,1.181292,0.919544,0.95,0.000914,0.609999,0.595411,0.587782,-0.005747,0.175453,-0.023457,0.284594
R00695262,0,2,11,0,0,1,18,4,0,1996.0,4.0,2,1,496.0,248.0,0.501931,3.27621,2.0,248.0,0,293.0,104.0,0.363871,3.150171,209.0,0,67.0,0.430136,1.314589,1.030909,0.15,0.00059,0.575766,0.564425,0.603908,-0.079799,-0.217858,-0.322828,-0.071794
R00695263,0,2,11,0,0,1,25,11,9,1988.0,12.0,1,0,263.0,106.0,0.410839,3.193916,1.0,263.0,0,947.0,725.0,0.763275,4.036959,210.0,0,41.0,0.490203,1.142192,0.823177,0.3,0.000926,0.576096,0.566582,0.587782,-0.170891,0.181545,-0.405122,0.079364
