rating_id,member_id,film_id,rated_at,engagement,promote
R00695198,1333,599,2000-11-22 00:00:00,0.702483,1
R00695199,1941,3572,2000-11-22 00:00:00,0.033694,0
R00695200,1941,3708,2000-11-22 00:00:00,0.124819,0
R00695201,1195,2746,2000-11-22 00:00:01,0.540506,0
R00695202,1333,1209,2000-11-22 00:00:01,0.698706,1
R00695203,1333,1266,2000-11-22 00:00:01,0.735436,1
R00695204,1333,3681,2000-11-22 00:00:01,0.66382,1
R00695205,1202,3105,2000-11-22 00:00:03,0.842128,1
R00695206,1186,1276,2000-11-22 00:00:07,0.860113,1
R00695207,1186,1288,2000-11-22 00:00:07,0.841656,1
R00695208,1186,2482,2000-11-22 00:00:07,0.607314,0
R00695209,1186,3363,2000-11-22 00:00:07,0.811313,1
R00695210,1194,1917,2000-11-22 00:00:10,0.510653,0
R00695211,1191,541,2000-11-22 00:00:13,0.92471,1
R00695212,1191,922,2000-11-22 00:00:13,0.927774,1
R00695213,1191,1068,2000-11-22 00:00:13,0.729618,1
R00695214,1191,1248,2000-11-22 00:00:13,0.8625,1
R00695215,1191,1252,2000-11-22 00:00:13,0.916589,1
R00695216,1191,1267,2000-11-22 00:00:13,0.913111,1
R00695217,1191,1617,2000-11-22 00:00:13,0.889266,1
R00695218,1191,2726,2000-11-22 00:00:13,0.847866,1
R00695219,1191,3683,2000-11-22 00:00:13,0.83207,1
R00695220,2015,11,2000-11-22 00:00:13,0.530761,0
R00695221,2015,524,2000-11-22 00:00:13,0.346109,0
R00695222,1195,1991,2000-11-22 00:00:22,0.276472,0
R00695223,1193,10,2000-11-22 00:00:23,0.225403,0
R00695224,1193,474,2000-11-22 00:00:23,0.354553,0
R00695225,1193,1527,2000-11-22 00:00:23,0.297162,0
R00695226,1193,1580,2000-11-22 00:00:23,0.357252,0
R00695227,1193,1912,2000-11-22 00:00:23,0.314654,0
R00695228,1193,2278,2000-11-22 00:00:23,0.227905,0
R00695229,1193,2353,2000-11-22 00:00:23,0.301402,0
R00695230,1333,2401,2000-11-22 00:00:23,0.690788,1
R00695231,1333,2921,2000-11-22 00:00:23,0.726466,1
R00695232,1333,3508,2000-11-22 00:00:23,0.757589,1
R00695233,1676,1681,2000-11-22 00:00:28,0.117695,0
R00695234,1194,3489,2000-11-22 00:00:30,0.386325,0
R00695235,1195,3708,2000-11-22 00:00:33,0.306445,0
R00695236,1186,955,2000-11-22 00:00:34,0.837597,1
R00695237,1186,2599,2000-11-22 00:00:34,0.804995,1
R00695238,2015,3591,2000-11-22 00:00:37,0.343684,0
R00695239,1941,1341,2000-11-22 00:00:39,0.105462,0
R00695240,1941,1985,2000-11-22 00:00:39,0.081852,0
R00695241,1941,1995,2000-11-22 00:00:39,0.067597,0
R00695242,1941,2328,2000-11-22 00:00:39,0.115471,0
R00695243,1941,2459,2000-11-22 00:00:39,0.217964,0
R00695244,1941,3459,2000-11-22 00:00:39,0.176782,0
R00695245,1941,3732,2000-11-22 00:00:39,0.119249,0
R00695246,1941,3840,2000-11-22 00:00:39,0.083483,0
R00695247,1333,368,2000-11-22 00:00:48,0.530619,0
R00695248,1333,553,2000-11-22 00:00:48,0.728758,1
R00695249,1333,3494,2000-11-22 00:00:48,0.598523,0
R00695250,1333,3682,2000-11-22 00:00:48,0.67022,1
R00695251,1186,2791,2000-11-22 00:00:56,0.838295,1
R00695252,1193,380,2000-11-22 00:00:57,0.226383,0
R00695253,1193,1370,2000-11-22 00:00:57,0.198108,0
R00695254,1193,1573,2000-11-22 00:00:57,0.171711,0
R00695255,1193,3178,2000-11-22 00:00:57,0.33962,0
R00695256,1676,112,2000-11-22 00:00:57,0.379885,0
R00695257,1220,516,2000-11-22 00:01:01,0.174977,0
R00695258,1220,1272,2000-11-22 00:01:01,0.694608,1
R00695259,1195,1983,2000-11-22 00:01:02,0.306654,0
R00695260,1195,2121,2000-11-22 00:01:02,0.2716,0
R00695261,1202,17,2000-11-22 00:01:03,0.899393,1
R00695262,2015,724,2000-11-22 00:01:04,0.179553,0
R00695263,1937,1961,2000-11-22 00:01:07,0.599538,0
R00695264,1937,3071,2000-11-22 00:01:07,0.421321,0
R00695265,1937,3552,2000-11-22 00:01:07,0.460031,0
R00695266,1333,996,2000-11-22 00:01:09,0.319128,0
R00695267,1333,1379,2000-11-22 00:01:09,0.298813,0
R00695268,1941,1976,2000-11-22 00:01:11,0.035832,0
R00695269,1941,1988,2000-11-22 00:01:11,0.043181,0
R00695270,1941,2121,2000-11-22 00:01:11,0.077517,0
R00695271,1941,2668,2000-11-22 00:01:11,0.047651,0
R00695272,1941,3696,2000-11-22 00:01:11,0.099628,0
R00695273,1391,1535,2000-11-22 00:01:15,0.444523,0
R00695274,1333,2701,2000-11-22 00:01:19,0.120046,0
R00695275,1220,1242,2000-11-22 00:01:26,0.636459,1
R00695276,1676,1049,2000-11-22 00:01:29,0.349628,0
R00695277,1676,2006,2000-11-22 00:01:29,0.438116,0
R00695278,1676,2115,2000-11-22 00:01:29,0.49504,0
R00695279,1676,3412,2000-11-22 00:01:29,0.36432,0
R00695280,1186,1219,2000-11-22 00:01:44,0.891123,1
R00695281,1186,1333,2000-11-22 00:01:44,0.795535,1
R00695282,1186,1387,2000-11-22 00:01:44,0.850895,1
R00695283,1193,6,2000-11-22 00:01:45,0.32026,0
R00695284,1193,21,2000-11-22 00:01:45,0.234339,0
R00695285,1193,349,2000-11-22 00:01:45,0.286995,0
R00695286,1193,1608,2000-11-22 00:01:45,0.238366,0
R00695287,1193,2628,2000-11-22 00:01:45,0.179533,0
R00695288,1193,3082,2000-11-22 00:01:45,0.159185,0
R00695289,1220,157,2000-11-22 00:01:45,0.209665,0
R00695290,1193,3107,2000-11-22 00:01:46,0.1883,0
R00695291,1195,1985,2000-11-22 00:01:46,0.268454,0
R00695292,1333,41,2000-11-22 00:01:46,0.822272,1
R00695293,1333,151,2000-11-22 00:01:46,0.688502,1
R00695294,1333,1094,2000-11-22 00:01:46,0.743418,1
R00695295,1333,2890,2000-11-22 00:01:46,0.765356,1
R00695296,1941,12,2000-11-22 00:01:51,0.078958,0
R00695297,1941,1969,2000-11-22 00:01:51,0.051174,0
R00695298,1941,1970,2000-11-22 00:01:51,0.067656,0
R00695299,1941,1971,2000-11-22 00:01:51,0.038917,0
