tail_number,operator,home_station
N101DQ,DL,ATL
N101DU,DL,SLC
N102DN,DL,ATL
N102DU,DL,SLC
N102NN,AA,JFK
N103NN,AA,JFK
N103SY,OO,SFO
N103US,AA,CLT
N104NN,AA,JFK
N104UW,AA,CLT
N105NN,AA,JFK
N105UW,AA,CLT
N106DN,DL,ATL
N106DU,DL,SLC
N106SY,OO,ORD
N107NN,AA,JFK
N107US,AA,DFW
N108NN,AA,JFK
N109DU,DL,LGA
N109SY,OO,ORD
N110AN,AA,JFK
N110DX,DL,ATL
N110SY,OO,SFO
N110UW,AA,CLT
N111NG,DL,BOS
N111US,AA,CLT
N111ZM,AA,JFK
N112DU,DL,LGA
N113AN,AA,JFK
N113DQ,DL,BOS
N113DX,DL,ATL
N113SY,OO,ORD
N114DN,DL,ATL
N114DU,DL,SEA
N114SY,OO,ORD
N114UW,AA,CLT
N115DN,DL,ATL
N115DU,DL,SLC
N116AN,AA,JFK
N116DU,DL,LGA
N118DU,DL,SEA
N118DY,DL,ATL
N118NN,AA,DFW
N118SY,OO,DEN
N118US,AA,CLT
N119DN,DL,ATL
N119DU,DL,SLC
N119NN,AA,DFW
N119SY,OO,ORD
N119US,AA,DFW
N120DN,DL,ATL
N120SY,OO,ORD
N121AN,AA,DFW
N121DU,DL,SLC
N121DZ,DL,ATL
N121SY,OO,ORD
N122DN,DL,ATL
N122DU,DL,BOS
N122NN,AA,DFW
N122SY,OO,ORD
N122US,AA,CLT
N123DQ,DL,SEA
N123UW,AA,CLT
N124AA,AA,DFW
N124DU,DL,SEA
N124DX,DL,ATL
N124US,AA,CLT
N125AA,AA,DFW
N125DN,DL,ATL
N125UW,AA,CLT
N126AN,AA,DFW
N126UW,AA,CLT
N127AA,AA,DFW
N127DN,DL,ATL
N127DU,DL,SLC
N127SY,OO,ORD
N128AN,AA,DFW
N128DU,DL,SLC
N128SY,OO,ORD
N128UW,AA,CLT
N129AA,AA,DFW
N129DU,DL,DFW
N130AN,AA,DFW
N130SY,OO,DEN
N131DU,DL,SLC
N133AN,AA,DFW
N133DU,DL,SLC
N133SY,OO,ORD
N134AN,AA,DFW
N135DQ,DL,JFK
N135SY,OO,DEN
N138AN,AA,DFW
N138SY,OO,SFO
N139AN,AA,DFW
N139DU,DL,SLC
N139SY,OO,ORD
N140SY,OO,DEN
N142AN,AA,DFW
N142SY,OO,SFO
N143AN,AA,DFW
N144SY,OO,DEN
N145SY,OO,ORD
N146AA,AA,DFW
N147AA,AA,DFW
N148AN,AA,DFW
N149AN,AA,DFW
N149SY,OO,ORD
N150NN,AA,DFW
N150SY,OO,ORD
N150UW,AA,CLT
N151AN,AA,DFW
N151UW,AA,CLT
N152AA,AA,DFW
N153SY,OO,LAX
N153UW,AA,CLT
N154AA,AA,DFW
N155UW,AA,CLT
N156SY,OO,ORD
N157AA,AA,DFW
N157SY,OO,ORD
N159AN,AA,DFW
N1603,DL,JFK
N1604R,DL,ATL
N1605,DL,HNL
N16065,DL,HNL
N160SY,OO,ORD
N161AA,AA,DFW
N161PQ,OO,SLC
N161SY,OO,ORD
N161UW,AA,CLT
N162AA,AA,DFW
N162UW,AA,CLT
N163AA,AA,DFW
N163SY,OO,ORD
N163US,AA,CLT
N164NN,AA,DFW
N165NN,AA,DFW
N165US,AA,CLT
N166NN,AA,DFW
N166SY,OO,ORD
N167AN,AA,DFW
N168SY,OO,ORD
N169DZ,DL,LAX
N170PQ,OO,ATL
N170SY,OO,PDX
N170US,AA,CLT
N171DN,DL,JFK
N171SY,OO,SFO
N171US,AA,CLT
N172DZ,DL,HNL
N173DZ,DL,ATL
N173SY,OO,PDX
N173US,AA,CLT
N174DN,DL,JFK
N174US,AA,CLT
N175DN,DL,JFK
N175SY,OO,SFO
N176DN,DL,JFK
N177DN,DL,LAX
N177DZ,DL,LAX
N177US,AA,CLT
N177XF,AA,CLT
N178DN,DL,JFK
N178DZ,DL,LAX
N178SY,OO,SAN
N178US,AA,CLT
N179UW,AA,CLT
N1801U,WN,HNL
N1803U,WN,LAS
N1805U,WN,LAS
N1806U,WN,HNL
N1808U,WN,HNL
N181UW,AA,CLT
N182DN,DL,SLC
N182SY,OO,SEA
N182UW,AA,CLT
N183SY,OO,SEA
N183UW,AA,CLT
N184DN,DL,SLC
N184SY,OO,SEA
N184US,AA,CLT
N185DN,DL,ATL
N186DN,DL,ATL
N186SY,OO,SFO
N187DN,DL,LAX
N187US,AA,CLT
N188SY,OO,SFO
N189SY,OO,SFO
N190DN,DL,HNL
N191DN,DL,HNL
N191SY,OO,SFO
N192SY,OO,SFO
N193SY,OO,SFO
N194DN,DL,ATL
N194SY,OO,SFO
N194UW,AA,CLT
N195DN,DL,ATL
N195UW,AA,CLT
N196DN,DL,JFK
N196UW,AA,CLT
N198DN,DL,HNL
N198SY,OO,SFO
N198UW,AA,CLT
N199SY,OO,SFO
N200SY,OO,ORD
N200WN,WN,LAS
N201LV,WN,LAS
N202SY,OO,ORD
N202WN,WN,BWI
N203WN,WN,PHX
N204SY,OO,SFO
N204WN,WN,MDW
N205SY,OO,IAH
N205WN,WN,DEN
N206SY,OO,ORD
N207PS,OO,DEN
N208SY,OO,LAX
N208WN,WN,BWI
N209SY,OO,ORD
N211WN,WN,BWI
N213SY,OO,SFO
N214WN,WN,LAS
N216WR,WN,DEN
N218WN,WN,DAL
N219WN,WN,BWI
N220WN,WN,DAL
N221WN,WN,DEN
N225WN,WN,DEN
N227WN,WN,DEN
N229WN,WN,DEN
N231WN,WN,BWI
N232WN,WN,PHX
N235WN,WN,DEN
N238WN,WN,LAS
N240WN,WN,DEN
N241WN,WN,DAL
N242SY,OO,MSP
N242WN,WN,BWI
N243WN,WN,DEN
N244WN,WN,DAL
N246LV,WN,DAL
N246PS,OO,ORD
N246SY,OO,MSP
N248WN,WN,BWI
N249WN,WN,LAS
N250WN,WN,DEN
N251SY,OO,MSP
N252WN,WN,DAL
N253SY,OO,MSP
N254SY,OO,SLC
N254WN,WN,DEN
N255WN,WN,DAL
N256SY,OO,MSP
N257SY,OO,MSP
N257WN,WN,DEN
N258SY,OO,MSP
N259SY,OO,MSP
N259WN,WN,DAL
N260SY,OO,SLC
N260WN,WN,DEN
N261SY,OO,MSP
N261WN,WN,DEN
N262SY,OO,SEA
N262WN,WN,DEN
N263SY,OO,SLC
N264SY,OO,SLC
N265SY,OO,LAX
N270SY,OO,SLC
N271SY,OO,SEA
N272WN,WN,DEN
N273SY,OO,LAX
N273WN,WN,DEN
N274SY,OO,LAX
N276WN,WN,BWI
N277SY,OO,LAX
N277WN,WN,LAS
N279SY,OO,SLC
N279WN,WN,LAS
N280WN,WN,LAS
N281SY,OO,SLC
N281WN,WN,DEN
N282SY,OO,LAX
N282WN,WN,DEN
N283WN,WN,DEN
N284WN,WN,DEN
N285SY,OO,SLC
N285WN,WN,DEN
N287SY,OO,LAX
N287WN,WN,LAS
N288WN,WN,BWI
N289SY,OO,SLC
N290WN,WN,BWI
N291SY,OO,SEA
N291WN,WN,DEN
N292WN,WN,BWI
N293SY,OO,SLC
N294SY,OO,MSP
N294WN,WN,DEN
N295SY,OO,MSP
N297WN,WN,DAL
N298SY,OO,SLC
N299WN,WN,DEN
N301DU,DL,SLC
N301NB,DL,SLC
N301SY,OO,SLC
N302DN,DL,ATL
N302DU,DL,SLC
N302NB,DL,SLC
N302SY,OO,LAX
N303DN,DL,ATL
N303DU,DL,SLC
N304DU,DL,SLC
N304RB,AA,MIA
N304SY,OO,SEA
N305DU,DL,SLC
N305SY,OO,MSP
N306NY,AA,DFW
N306RC,AA,MIA
N306SP,AA,MIA
N306SW,AA,MIA
N307DX,DL,ATL
N307TA,AA,MIA
N308DN,DL,ATL
N308RD,AA,MIA
N308SY,OO,SLC
N308TB,AA,MIA
N309DN,DL,ATL
N309DU,DL,SEA
N309SY,OO,MSP
N310DN,DL,LGA
N310DU,DL,SLC
N310SY,OO,MSP
N311DN,DL,ATL
N312DU,DL,SEA
N313DN,DL,ATL
N313DU,DL,IAH
N313SY,OO,SLC
N314DN,DL,ATL
N314DU,DL,SLC
N314RH,AA,MIA
N315DN,DL,ATL
N315NB,DL,DTW
N315PE,AA,DFW
N315RJ,AA,MIA
N316DN,DL,ATL
N316PF,AA,DFW
N316SE,AA,MIA
N316SY,OO,MSP
N317DN,DL,ATL
N317DU,DL,SLC
N317PG,AA,DFW
N318DU,DL,SLC
N318DX,DL,ATL
N318NB,DL,LAX
N318SF,AA,MIA
N318TD,AA,MIA
N319SY,OO,SLC
N319TE,AA,MIA
N320DU,DL,LGA
N320SY,OO,MSP
N320US,DL,SLC
N321DH,DL,ATL
N321DU,DL,SLC
N321NB,DL,MSP
N321RL,AA,MIA
N321TG,AA,MIA
N322DN,DL,ATL
N322NB,DL,SLC
N322SY,OO,MSP
N322TH,AA,MIA
N323RM,AA,MIA
N323SG,AA,MIA
N323SY,OO,MSP
N323US,DL,ATL
N324DU,DL,SEA
N324DX,DL,ATL
N324NB,DL,DTW
N324SY,OO,MSP
N324US,DL,ATL
N325DN,DL,ATL
N325NB,DL,MSP
N325US,DL,ATL
N326NB,DL,DTW
N326SY,OO,MSP
N326US,DL,ATL
N327NW,DL,ATL
N327SK,AA,MIA
N328NB,DL,MSP
N328RR,AA,MIA
N328TC,AA,MIA
N329DN,DL,ATL
N329NB,DL,LAX
N329NW,DL,MSP
N329SL,AA,MIA
N330DX,DL,ATL
N330NB,DL,DTW
N331DN,DL,ATL
N332DN,DL,ATL
N333NB,DL,MSP
N334NB,DL,SLC
N334NW,DL,ATL
N334SM,AA,MIA
N335NW,DL,MSP
N335PH,AA,DFW
N335SN,AA,MIA
N336DX,DL,ATL
N336NB,DL,MSP
N336NW,DL,ATL
N336RU,AA,MIA
N336SR,AA,MIA
N336TM,AA,MIA
N337DN,DL,ATL
N337NB,DL,LAX
N337NW,DL,ATL
N338NB,DL,ATL
N338NW,DL,ATL
N338PK,AA,DFW
N338ST,AA,MIA
N339DN,DL,ATL
N339NB,DL,MSP
N339NW,DL,ATL
N340NB,DL,SLC
N340NW,DL,ATL
N341NW,DL,ATL
N341RW,AA,MIA
N341SV,AA,MIA
N341TR,AA,MIA
N342DN,DL,ATL
N342NB,DL,ATL
N342NW,DL,ATL
N342PM,AA,DFW
N342SX,AA,MIA
N343DN,DL,ATL
N343NW,DL,ATL
N343RY,AA,MIA
N343SY,AA,MIA
N344NW,DL,MSP
N344PP,AA,DFW
N345DN,DL,ATL
N345NB,DL,ATL
N345NW,DL,ATL
N346DN,DL,ATL
N346PR,AA,DFW
N347DN,DL,ATL
N347NW,DL,ATL
N348NW,DL,ATL
N349NB,DL,MSP
N349NW,DL,ATL
N350RV,AA,MIA
N351NW,DL,ATL
N352DN,DL,ATL
N352NB,DL,SLC
N352NW,DL,ATL
N352PS,AA,DFW
N353DN,DL,ATL
N353NB,DL,SLC
N353NW,DL,ATL
N354DN,DL,ATL
N354NW,DL,ATL
N354PT,AA,DFW
N355NW,DL,ATL
N355PU,AA,DFW
N356DN,DL,ATL
N357DN,DL,ATL
N358PW,AA,DFW
N359DN,DL,ATL
N359NW,DL,ATL
N359PX,AA,DFW
N360DN,DL,ATL
N360NW,DL,ATL
N361NW,DL,ATL
N362DN,DL,ATL
N362NB,DL,SLC
N364NB,DL,LAX
N364NW,DL,ATL
N365NB,DL,ATL
N365NW,DL,ATL
N366DX,DL,ATL
N366NB,DL,SLC
N366NW,DL,ATL
N367DN,DL,ATL
N367NW,DL,DTW
N368NB,DL,DTW
N368NW,DL,ATL
N369NB,DL,ATL
N370DN,DL,ATL
N370NB,DL,LAX
N371NB,DL,MSP
N372DA,DL,SEA
N372NW,DL,SLC
N3730B,DL,SEA
N3733Z,DL,ATL
N3734B,DL,SEA
N3735D,DL,SEA
N3736C,DL,SEA
N3737C,DL,SEA
N3739P,DL,SEA
N373DX,DL,ATL
N373NW,DL,ATL
N3740C,DL,ATL
N3746H,DL,ATL
N3747D,DL,SEA
N3749D,DL,ATL
N374DA,DL,ATL
N3751B,DL,ATL
N3753,DL,SEA
N3754A,DL,SEA
N3759,DL,SLC
N375DN,DL,ATL
N375NC,DL,ATL
N3762Y,DL,SLC
N3763D,DL,SEA
N3766,DL,SEA
N3768,DL,ATL
N3769L,DL,ATL
N37700,DL,SEA
N3771K,DL,BOS
N3773D,DL,SEA
N377NW,DL,ATL
N378DN,DL,ATL
N378NW,DL,ATL
N378SC,AA,MIA
N379DA,DL,ATL
N380DA,DL,SEA
N380DN,DL,ATL
N381DN,DL,SEA
N381DZ,DL,ATL
N382DA,DL,ATL
N382DN,DL,ATL
N385DN,DL,SLC
N387DA,DL,MIA
N387DN,DL,ATL
N388DA,DL,SEA
N388DN,DL,ATL
N389DA,DL,SEA
N390DA,DL,ATL
N390DN,DL,ATL
N391DA,DL,LGA
N392DN,DL,ATL
N393DA,DL,SEA
N393DN,DL,ATL
N394DA,DL,SEA
N394DL,DL,SLC
N394DX,DL,ATL
N395DN,DL,ATL
N395DZ,DL,ATL
N396DA,DL,ATL
N396DN,DL,ATL
N397DA,DL,SLC
N397DN,DL,ATL
N400AN,AA,PHX
N400SY,OO,SFO
N401WN,WN,DEN
N402AN,AA,PHX
N402DX,DL,JFK
N402SY,OO,SFO
N403WN,WN,BWI
N404SY,OO,SEA
N404WN,WN,BWI
N405AN,AA,DFW
N405DX,DL,JFK
N405SY,OO,PDX
N405WN,WN,DEN
N406AN,AA,PHX
N406DX,DL,LAX
N406WN,WN,DEN
N407AN,AA,PHX
N407SY,OO,SAN
N407WN,WN,DEN
N408SY,OO,SFO
N408WN,WN,DEN
N409AA,AA,MIA
N409DX,DL,LAX
N409WN,WN,DEN
N410AN,AA,LAX
N410DZ,DL,LAX
N410WN,WN,DEN
N411AN,AA,PHX
N411DX,DL,ATL
N411WN,WN,DEN
N412DX,DL,JFK
N412SY,OO,SFO
N412WN,WN,DEN
N413AN,AA,PHX
N413DX,DL,JFK
N414AL,AA,PHX
N414DZ,DL,LAX
N415AN,AA,PHX
N415DX,DL,JFK
N415WN,WN,BWI
N416AN,AA,LAX
N416WN,WN,LAS
N417AN,AA,PHX
N418DX,DL,LAX
N420DX,DL,JFK
N421DX,DL,JFK
N421LV,WN,DEN
N421UW,AA,PHX
N422DZ,DL,LAX
N422WN,WN,DAL
N423WN,WN,DEN
N424DX,DL,JFK
N424WN,WN,BWI
N425AN,AA,MIA
N425DX,DL,JFK
N425LV,WN,DEN
N426AN,AA,PHX
N426DZ,DL,LAX
N426WN,WN,BWI
N427AN,AA,PHX
N427DX,DL,JFK
N428WN,WN,DAL
N429AN,AA,PHX
N429WN,WN,DEN
N430AN,AA,PHX
N431AN,AA,PHX
N431WN,WN,DEN
N432AN,AA,PHX
N433AN,AA,PHX
N434AN,AA,PHX
N435AN,AA,LAX
N435WN,WN,BWI
N436WN,WN,DAL
N437AN,AA,PHX
N437WN,WN,BWI
N438AN,AA,PHX
N438WN,WN,BWI
N440AN,AA,LAX
N442AN,AA,PHX
N443AA,AA,PHX
N443WN,WN,DEN
N444UW,AA,PHX
N446AN,AA,PHX
N446WN,WN,DEN
N447WN,WN,DEN
N448AN,AA,PHX
N448WN,WN,DEN
N451AN,AA,PHX
N453AA,AA,PHX
N453WN,WN,DEN
N454WN,WN,DAL
N455AN,AA,PHX
N455SW,OO,ORD
N455WN,WN,HOU
N456AN,AA,PHX
N456WN,WN,DEN
N457AM,AA,PHX
N457SW,OO,DEN
N458AL,AA,PHX
N458WN,WN,DAL
N459AN,AA,LAX
N459WN,WN,DAL
N462AA,AA,LAX
N462WN,WN,DEN
N463SW,OO,ORD
N464SW,OO,ORD
N465AN,AA,LAX
N465WN,WN,DEN
N466AN,AA,PHX
N466SW,OO,ORD
N467AL,AA,PHX
N467WN,WN,DEN
N468AN,AA,PHX
N468WN,WN,DAL
N469WN,WN,DEN
N470WN,WN,DAL
N472WN,WN,DAL
N473WN,WN,DEN
N474WN,WN,DEN
N479CA,OO,ORD
N479WN,WN,DEN
N481WN,WN,DEN
N483WN,WN,BWI
N485WN,WN,DEN
N486WN,WN,DAL
N487CA,OO,DEN
N487WN,WN,DEN
N488WN,WN,DEN
N490WN,WN,PHX
N491WN,WN,DEN
N492WN,WN,DEN
N493WN,WN,DEN
N496WN,WN,BWI
N497WN,WN,DEN
N498WN,WN,DEN
N501SY,OO,LAX
