code,city,state
ABE,"Allentown/Bethlehem/Easton, PA",PA
ABQ,"Albuquerque, NM",NM
ABR,"Aberdeen, SD",SD
ABY,"Albany, GA",GA
ACT,"Waco, TX",TX
ACV,"Arcata/Eureka, CA",CA
AEX,"Alexandria, LA",LA
AGS,"Augusta, GA",GA
ALB,"Albany, NY",NY
ALW,"Walla Walla, WA",WA
AMA,"Amarillo, TX",TX
ANC,"Anchorage, AK",AK
APN,"Alpena, MI",MI
ASE,"Aspen, CO",CO
ATL,"Atlanta, GA",GA
ATW,"Appleton, WI",WI
AUS,"Austin, TX",TX
AVL,"Asheville, NC",NC
AVP,"Scranton/Wilkes-Barre, PA",PA
AZO,"Kalamazoo, MI",MI
BDL,"Hartford, CT",CT
BFF,"Scottsbluff, NE",NE
BFL,"Bakersfield, CA",CA
BHM,"Birmingham, AL",AL
BIH,"Bishop, CA",CA
BIL,"Billings, MT",MT
BIS,"Bismarck/Mandan, ND",ND
BJI,"Bemidji, MN",MN
BLI,"Bellingham, WA",WA
BNA,"Nashville, TN",TN
BOI,"Boise, ID",ID
BOS,"Boston, MA",MA
BPT,"Beaumont/Port Arthur, TX",TX
BQK,"Brunswick, GA",GA
BRD,"Brainerd, MN",MN
BRO,"Brownsville, TX",TX
BTM,"Butte, MT",MT
BTR,"Baton Rouge, LA",LA
BTV,"Burlington, VT",VT
BUF,"Buffalo, NY",NY
BUR,"Burbank, CA",CA
BWI,"Baltimore, MD",MD
BZN,"Bozeman, MT",MT
CAE,"Columbia, SC",SC
CAK,"Akron, OH",OH
CDC,"Cedar City, UT",UT
CHA,"Chattanooga, TN",TN
CHO,"Charlottesville, VA",VA
CHS,"Charleston, SC",SC
CID,"Cedar Rapids/Iowa City, IA",IA
CIU,"Sault Ste. Marie, MI",MI
CLE,"Cleveland, OH",OH
CLL,"College Station/Bryan, TX",TX
CLT,"Charlotte, NC",NC
CMH,"Columbus, OH",OH
CMX,"Hancock/Houghton, MI",MI
CNY,"Moab, UT",UT
COS,"Colorado Springs, CO",CO
CPR,"Casper, WY",WY
CRP,"Corpus Christi, TX",TX
CRW,"Charleston/Dunbar, WV",WV
CSG,"Columbus, GA",GA
CVG,"Cincinnati, OH",KY
CYS,"Cheyenne, WY",WY
DAB,"Daytona Beach, FL",FL
DAL,"Dallas, TX",TX
DAY,"Dayton, OH",OH
DCA,"Washington, DC",VA
DDC,"Dodge City, KS",KS
DEC,"Decatur, IL",IL
DEN,"Denver, CO",CO
DFW,"Dallas/Fort Worth, TX",TX
DIK,"Dickinson, ND",ND
DLH,"Duluth, MN",MN
DRO,"Durango, CO",CO
DSM,"Des Moines, IA",IA
DTW,"Detroit, MI",MI
DVL,"Devils Lake, ND",ND
ECP,"Panama City, FL",FL
EGE,"Eagle, CO",CO
EKO,"Elko, NV",NV
ELM,"Elmira/Corning, NY",NY
ELP,"El Paso, TX",TX
ESC,"Escanaba, MI",MI
EUG,"Eugene, OR",OR
EVV,"Evansville, IN",IN
EWR,"Newark, NJ",NJ
EYW,"Key West, FL",FL
FAI,"Fairbanks, AK",AK
FAR,"Fargo, ND",ND
FAT,"Fresno, CA",CA
FAY,"Fayetteville, NC",NC
FCA,"Kalispell, MT",MT
FLG,"Flagstaff, AZ",AZ
FLL,"Fort Lauderdale, FL",FL
FNT,"Flint, MI",MI
FOD,"Fort Dodge, IA",IA
FSD,"Sioux Falls, SD",SD
FSM,"Fort Smith, AR",AR
FWA,"Fort Wayne, IN",IN
GCC,"Gillette, WY",WY
GCK,"Garden City, KS",KS
GEG,"Spokane, WA",WA
GFK,"Grand Forks, ND",ND
GGG,"Longview, TX",TX
GJT,"Grand Junction, CO",CO
GNV,"Gainesville, FL",FL
GPT,"Gulfport/Biloxi, MS",MS
GRB,"Green Bay, WI",WI
GRI,"Grand Island, NE",NE
GRK,"Killeen, TX",TX
GRR,"Grand Rapids, MI",MI
GSO,"Greensboro/High Point, NC",NC
GSP,"Greer, SC",SC
GTF,"Great Falls, MT",MT
GUC,"Gunnison, CO",CO
HDN,"Hayden, CO",CO
HIB,"Hibbing, MN",MN
HLN,"Helena, MT",MT
HNL,"Honolulu, HI",HI
HOU,"Houston, TX",TX
HPN,"White Plains, NY",NY
HRL,"Harlingen/San Benito, TX",TX
HSV,"Huntsville, AL",AL
HYS,"Hays, KS",KS
IAD,"Washington, DC",VA
IAH,"Houston, TX",TX
ICT,"Wichita, KS",KS
IDA,"Idaho Falls, ID",ID
ILM,"Wilmington, NC",NC
IMT,"Iron Mountain/Kingsfd, MI",MI
IND,"Indianapolis, IN",IN
INL,"International Falls, MN",MN
ISP,"Islip, NY",NY
ITO,"Hilo, HI",HI
JAC,"Jackson, WY",WY
JAN,"Jackson/Vicksburg, MS",MS
JAX,"Jacksonville, FL",FL
JFK,"New York, NY",NY
JLN,"Joplin, MO",MO
JMS,"Jamestown, ND",ND
JST,"Johnstown, PA",PA
KOA,"Kona, HI",HI
LAN,"Lansing, MI",MI
LAR,"Laramie, WY",WY
LAS,"Las Vegas, NV",NV
LAW,"Lawton/Fort Sill, OK",OK
LAX,"Los Angeles, CA",CA
LBB,"Lubbock, TX",TX
LBF,"North Platte, NE",NE
LBL,"Liberal, KS",KS
LCH,"Lake Charles, LA",LA
LEX,"Lexington, KY",KY
LFT,"Lafayette, LA",LA
LGA,"New York, NY",NY
LGB,"Long Beach, CA",CA
LIH,"Lihue, HI",HI
LIT,"Little Rock, AR",AR
LNK,"Lincoln, NE",NE
LRD,"Laredo, TX",TX
LWS,"Lewiston, ID",ID
MAF,"Midland/Odessa, TX",TX
MBS,"Saginaw/Bay City/Midland, MI",MI
MCI,"Kansas City, MO",MO
MCO,"Orlando, FL",FL
MCW,"Mason City, IA",IA
MDT,"Harrisburg, PA",PA
MDW,"Chicago, IL",IL
MEI,"Meridian, MS",MS
MEM,"Memphis, TN",TN
