flight_id,tail_number,departed_at,risk_score,watch
F00213457,N991AU,2024-02-05 00:18:00,0.000211,0
F00213458,N451AN,2024-02-05 00:24:00,0.000306,0
F00213459,N526DE,2024-02-05 00:40:00,9.4e-05,0
F00213460,N352PS,2024-02-05 00:43:00,4.9e-05,0
F00213461,N367DN,2024-02-05 00:45:00,0.000368,0
F00213462,N359DN,2024-02-05 00:59:00,2.1e-05,0
F00213463,N375DN,2024-02-05 00:59:00,0.000426,0
F00213464,N114DU,2024-02-05 01:40:00,8.4e-05,0
F00213465,N143AN,2024-02-05 05:00:00,4.4e-05,0
F00213466,N161AA,2024-02-05 05:00:00,2.5e-05,0
F00213467,N184US,2024-02-05 05:00:00,0.000476,0
F00213468,N260SY,2024-02-05 05:00:00,4.6e-05,0
F00213469,N271SY,2024-02-05 05:00:00,0.008458,0
F00213470,N306SW,2024-02-05 05:00:00,0.000207,0
F00213471,N323RM,2024-02-05 05:00:00,0.000235,0
F00213472,N3746H,2024-02-05 05:00:00,3.9e-05,0
F00213473,N404SY,2024-02-05 05:00:00,0.002272,0
F00213474,N501SY,2024-02-05 05:00:00,0.0004,0
F00213475,N523UW,2024-02-05 05:00:00,0.000365,0
F00213476,N544UW,2024-02-05 05:00:00,0.000142,0
F00213477,N802AW,2024-02-05 05:00:00,0.370813,1
F00213478,N819AW,2024-02-05 05:00:00,0.111595,1
F00213479,N850NN,2024-02-05 05:00:00,0.001147,0
F00213480,N900UW,2024-02-05 05:00:00,0.000344,0
F00213481,N915US,2024-02-05 05:00:00,0.000132,0
F00213482,N927AN,2024-02-05 05:00:00,0.000236,0
F00213483,N933AM,2024-02-05 05:00:00,5.2e-05,0
F00213484,N981UY,2024-02-05 05:00:00,7e-06,0
F00213485,N927NN,2024-02-05 05:01:00,2.2e-05,0
F00213486,N996AN,2024-02-05 05:01:00,1.2e-05,0
F00213487,N324US,2024-02-05 05:04:00,0.000414,0
F00213488,N358PW,2024-02-05 05:05:00,0.000277,0
F00213489,N8698B,2024-02-05 05:05:00,3.2e-05,0
F00213490,N942NN,2024-02-05 05:05:00,1e-05,0
F00213491,N797SK,2024-02-05 05:08:00,0.055132,0
F00213492,N200SY,2024-02-05 05:10:00,0.032262,0
F00213493,N261SY,2024-02-05 05:10:00,0.001879,0
F00213494,N3735D,2024-02-05 05:10:00,0.000107,0
F00213495,N954AN,2024-02-05 05:10:00,0.001007,0
F00213496,N992AN,2024-02-05 05:10:00,0.010017,0
F00213497,N150NN,2024-02-05 05:11:00,0.00044,0
F00213498,N443AA,2024-02-05 05:15:00,0.000314,0
F00213499,N587NW,2024-02-05 05:15:00,2.7e-05,0
F00213500,N665AW,2024-02-05 05:15:00,3.1e-05,0
F00213501,N699BR,2024-02-05 05:15:00,5.5e-05,0
F00213502,N830SK,2024-02-05 05:15:00,6.1e-05,0
F00213503,N948NN,2024-02-05 05:15:00,0.000444,0
F00213504,N949DZ,2024-02-05 05:15:00,0.000341,0
F00213505,N969NN,2024-02-05 05:15:00,8.7e-05,0
F00213506,N957NN,2024-02-05 05:16:00,2.3e-05,0
F00213507,N968AN,2024-02-05 05:17:00,3e-05,0
F00213508,N910AU,2024-02-05 05:18:00,3.6e-05,0
F00213509,N295SY,2024-02-05 05:19:00,0.000176,0
F00213510,N104UW,2024-02-05 05:20:00,0.001319,0
F00213511,N126UW,2024-02-05 05:20:00,3.5e-05,0
F00213512,N163US,2024-02-05 05:20:00,0.000351,0
F00213513,N165NN,2024-02-05 05:20:00,0.000123,0
F00213514,N316SE,2024-02-05 05:20:00,0.000298,0
F00213515,N318TD,2024-02-05 05:20:00,0.002656,0
F00213516,N614UX,2024-02-05 05:20:00,0.024176,0
F00213517,N728SK,2024-02-05 05:20:00,0.03453,0
F00213518,N772SK,2024-02-05 05:20:00,4.5e-05,0
F00213519,N774SK,2024-02-05 05:20:00,0.001292,0
F00213520,N926NN,2024-02-05 05:20:00,0.000111,0
F00213521,N943NN,2024-02-05 05:20:00,0.000239,0
F00213522,N950NN,2024-02-05 05:20:00,2.9e-05,0
F00213523,N956NN,2024-02-05 05:20:00,0.000813,0
F00213524,N980NN,2024-02-05 05:20:00,0.365587,1
F00213525,N805NN,2024-02-05 05:23:00,0.000498,0
F00213526,N337NB,2024-02-05 05:24:00,0.000175,0
F00213527,N845NN,2024-02-05 05:24:00,1.6e-05,0
F00213528,N302NB,2024-02-05 05:25:00,0.000216,0
F00213529,N320US,2024-02-05 05:25:00,3.5e-05,0
F00213530,N322NB,2024-02-05 05:25:00,0.000354,0
F00213531,N328TC,2024-02-05 05:25:00,0.000296,0
F00213532,N365NW,2024-02-05 05:25:00,7.2e-05,0
F00213533,N553UW,2024-02-05 05:25:00,0.000356,0
F00213534,N653AW,2024-02-05 05:25:00,2.8e-05,0
F00213535,N6705Y,2024-02-05 05:25:00,0.000487,0
F00213536,N821DN,2024-02-05 05:25:00,0.000178,0
F00213537,N826DN,2024-02-05 05:25:00,2.5e-05,0
F00213538,N844NN,2024-02-05 05:25:00,0.000464,0
F00213539,N8572X,2024-02-05 05:25:00,0.021293,0
F00213540,N8634A,2024-02-05 05:25:00,0.000215,0
F00213541,N907AN,2024-02-05 05:25:00,0.000876,0
F00213542,N805SK,2024-02-05 05:29:00,0.000267,0
F00213543,N122DU,2024-02-05 05:30:00,1.2e-05,0
F00213544,N265SY,2024-02-05 05:30:00,0.0002,0
F00213545,N318NB,2024-02-05 05:30:00,0.000216,0
F00213546,N6712B,2024-02-05 05:30:00,0.000351,0
F00213547,N718EV,2024-02-05 05:30:00,0.001089,0
F00213548,N766SK,2024-02-05 05:30:00,0.000335,0
F00213549,N823DX,2024-02-05 05:30:00,0.000345,0
F00213550,N827NN,2024-02-05 05:30:00,3.4e-05,0
F00213551,N835NN,2024-02-05 05:30:00,0.000144,0
F00213552,N8512U,2024-02-05 05:30:00,9.4e-05,0
F00213553,N851DN,2024-02-05 05:30:00,0.000183,0
F00213554,N8537Z,2024-02-05 05:30:00,0.000294,0
F00213555,N8674B,2024-02-05 05:30:00,0.001343,0
F00213556,N8872Q,2024-02-05 05:30:00,0.000246,0
F00213557,N915AN,2024-02-05 05:30:00,0.019374,0
F00213558,N925UY,2024-02-05 05:30:00,0.000293,0
F00213559,N958SW,2024-02-05 05:30:00,0.026558,0
F00213560,N962AN,2024-02-05 05:30:00,0.015785,0
F00213561,N773SK,2024-02-05 05:31:00,0.001758,0
F00213562,N127DU,2024-02-05 05:35:00,0.00045,0
F00213563,N514SY,2024-02-05 05:35:00,0.000393,0
F00213564,N8535S,2024-02-05 05:35:00,0.000121,0
F00213565,N8609A,2024-02-05 05:35:00,0.000203,0
F00213566,N8816Q,2024-02-05 05:35:00,0.000348,0
F00213567,N903DN,2024-02-05 05:35:00,0.000221,0
F00213568,N914EV,2024-02-05 05:37:00,0.024921,0
F00213569,N943AT,2024-02-05 05:39:00,0.000256,0
F00213570,N208WN,2024-02-05 05:40:00,0.002428,0
F00213571,N259SY,2024-02-05 05:40:00,0.001388,0
F00213572,N7815L,2024-02-05 05:40:00,0.0001,0
F00213573,N7889A,2024-02-05 05:40:00,0.024707,0
F00213574,N8648A,2024-02-05 05:40:00,0.003128,0
F00213575,N8815L,2024-02-05 05:40:00,0.018585,0
F00213576,N8879Q,2024-02-05 05:40:00,3.3e-05,0
F00213577,N892AT,2024-02-05 05:40:00,0.00041,0
F00213578,N906AN,2024-02-05 05:40:00,5.8e-05,0
F00213579,N948DZ,2024-02-05 05:40:00,0.000365,0
F00213580,N961NN,2024-02-05 05:42:00,2.1e-05,0
F00213581,N998AN,2024-02-05 05:42:00,0.0004,0
F00213582,N119NN,2024-02-05 05:43:00,0.001692,0
F00213583,N151UW,2024-02-05 05:44:00,3.1e-05,0
F00213584,N334SM,2024-02-05 05:44:00,0.000248,0
F00213585,N965SW,2024-02-05 05:44:00,0.308886,1
F00213586,N113DX,2024-02-05 05:45:00,1.3e-05,0
F00213587,N202SY,2024-02-05 05:45:00,5e-05,0
F00213588,N364NW,2024-02-05 05:45:00,3.7e-05,0
F00213589,N3766,2024-02-05 05:45:00,4.1e-05,0
F00213590,N582UW,2024-02-05 05:45:00,0.00042,0
F00213591,N7883A,2024-02-05 05:45:00,0.197443,1
F00213592,N806SK,2024-02-05 05:45:00,0.000345,0
F00213593,N818DA,2024-02-05 05:45:00,0.000259,0
F00213594,N8709Q,2024-02-05 05:45:00,0.000228,0
F00213595,N8824Q,2024-02-05 05:45:00,0.000256,0
F00213596,N899AT,2024-02-05 05:45:00,2.8e-05,0
F00213597,N951DX,2024-02-05 05:45:00,0.000433,0
F00213598,N989AT,2024-02-05 05:45:00,0.000169,0
F00213599,N9023N,2024-02-05 05:47:00,0.401362,1
F00213600,N732SK,2024-02-05 05:48:00,0.029943,0
F00213601,N584UW,2024-02-05 05:49:00,0.000344,0
F00213602,N762SK,2024-02-05 05:49:00,0.001912,0
F00213603,N317PG,2024-02-05 05:50:00,3.6e-05,0
F00213604,N393DA,2024-02-05 05:50:00,0.000152,0
F00213605,N397DN,2024-02-05 05:50:00,0.000378,0
F00213606,N414AL,2024-02-05 05:50:00,0.00013,0
F00213607,N7725A,2024-02-05 05:50:00,0.000218,0
F00213608,N8682B,2024-02-05 05:50:00,0.052954,0
F00213609,N935DZ,2024-02-05 05:50:00,0.00024,0
F00213610,N958DZ,2024-02-05 05:50:00,0.000321,0
F00213611,N177US,2024-02-05 05:51:00,1.6e-05,0
F00213612,N337NW,2024-02-05 05:52:00,0.000268,0
F00213613,N929EV,2024-02-05 05:52:00,4e-05,0
F00213614,N396DN,2024-02-05 05:53:00,0.108199,1
F00213615,N652AW,2024-02-05 05:54:00,2.9e-05,0
F00213616,N828AW,2024-02-05 05:54:00,0.4193,1
F00213617,N905NN,2024-02-05 05:54:00,0.000374,0
F00213618,N327NW,2024-02-05 05:55:00,0.000413,0
F00213619,N448WN,2024-02-05 05:55:00,0.032887,0
F00213620,N459AN,2024-02-05 05:55:00,0.000275,0
F00213621,N534DT,2024-02-05 05:55:00,0.000319,0
F00213622,N689DL,2024-02-05 05:55:00,0.000237,0
F00213623,N717EV,2024-02-05 05:55:00,0.001309,0
F00213624,N7885A,2024-02-05 05:55:00,3.1e-05,0
F00213625,N870DN,2024-02-05 05:55:00,0.000445,0
F00213626,N893DN,2024-02-05 05:55:00,0.000204,0
F00213627,N928AT,2024-02-05 05:55:00,1.6e-05,0
F00213628,N706SK,2024-02-05 05:57:00,0.270439,1
F00213629,N727SK,2024-02-05 05:57:00,0.001208,0
F00213630,N936NN,2024-02-05 05:57:00,1.5e-05,0
F00213631,N103NN,2024-02-05 06:00:00,9.4e-05,0
F00213632,N103US,2024-02-05 06:00:00,0.000419,0
F00213633,N110DX,2024-02-05 06:00:00,0.00035,0
F00213634,N111NG,2024-02-05 06:00:00,0.000218,0
F00213635,N112DU,2024-02-05 06:00:00,4.5e-05,0
F00213636,N114UW,2024-02-05 06:00:00,0.000769,0
F00213637,N116DU,2024-02-05 06:00:00,0.000189,0
F00213638,N121SY,2024-02-05 06:00:00,0.055965,0
F00213639,N130AN,2024-02-05 06:00:00,4.6e-05,0
F00213640,N130SY,2024-02-05 06:00:00,0.178413,1
F00213641,N134AN,2024-02-05 06:00:00,4.4e-05,0
F00213642,N135SY,2024-02-05 06:00:00,0.160485,1
F00213643,N139DU,2024-02-05 06:00:00,0.000466,0
F00213644,N142AN,2024-02-05 06:00:00,0.000351,0
F00213645,N144SY,2024-02-05 06:00:00,0.001947,0
F00213646,N146AA,2024-02-05 06:00:00,0.000169,0
F00213647,N154AA,2024-02-05 06:00:00,7e-05,0
F00213648,N171US,2024-02-05 06:00:00,2.7e-05,0
F00213649,N173US,2024-02-05 06:00:00,0.000233,0
F00213650,N174DN,2024-02-05 06:00:00,4.7e-05,0
F00213651,N184SY,2024-02-05 06:00:00,0.299908,1
F00213652,N218WN,2024-02-05 06:00:00,0.003073,0
F00213653,N221WN,2024-02-05 06:00:00,4.5e-05,0
F00213654,N242SY,2024-02-05 06:00:00,0.394518,1
F00213655,N246PS,2024-02-05 06:00:00,0.466408,1
F00213656,N257SY,2024-02-05 06:00:00,0.000147,0
F00213657,N258SY,2024-02-05 06:00:00,0.000108,0
F00213658,N270SY,2024-02-05 06:00:00,0.009539,0
F00213659,N272WN,2024-02-05 06:00:00,9.5e-05,0
F00213660,N273SY,2024-02-05 06:00:00,0.020517,0
F00213661,N280WN,2024-02-05 06:00:00,0.001873,0
F00213662,N285SY,2024-02-05 06:00:00,0.000389,0
F00213663,N298SY,2024-02-05 06:00:00,0.274992,1
F00213664,N303DN,2024-02-05 06:00:00,3.2e-05,0
F00213665,N307DX,2024-02-05 06:00:00,1.2e-05,0
F00213666,N313SY,2024-02-05 06:00:00,9e-05,0
F00213667,N314DN,2024-02-05 06:00:00,0.00016,0
F00213668,N320DU,2024-02-05 06:00:00,0.000175,0
F00213669,N326US,2024-02-05 06:00:00,0.000147,0
F00213670,N331DN,2024-02-05 06:00:00,0.00012,0
F00213671,N334NW,2024-02-05 06:00:00,0.000194,0
F00213672,N335NW,2024-02-05 06:00:00,6.7e-05,0
F00213673,N336NB,2024-02-05 06:00:00,4.2e-05,0
F00213674,N339NB,2024-02-05 06:00:00,0.000223,0
F00213675,N340NB,2024-02-05 06:00:00,0.00048,0
F00213676,N342NW,2024-02-05 06:00:00,0.000284,0
F00213677,N342SX,2024-02-05 06:00:00,4.1e-05,0
F00213678,N343NW,2024-02-05 06:00:00,0.000326,0
F00213679,N343RY,2024-02-05 06:00:00,0.000219,0
F00213680,N346DN,2024-02-05 06:00:00,0.000444,0
F00213681,N346PR,2024-02-05 06:00:00,5.8e-05,0
F00213682,N354NW,2024-02-05 06:00:00,0.000454,0
F00213683,N355NW,2024-02-05 06:00:00,0.000474,0
F00213684,N360DN,2024-02-05 06:00:00,0.00047,0
F00213685,N368NW,2024-02-05 06:00:00,2.9e-05,0
F00213686,N370NB,2024-02-05 06:00:00,0.000527,0
F00213687,N3730B,2024-02-05 06:00:00,0.000268,0
F00213688,N3753,2024-02-05 06:00:00,0.000406,0
F00213689,N3768,2024-02-05 06:00:00,8.8e-05,0
F00213690,N377NW,2024-02-05 06:00:00,0.000156,0
F00213691,N379DA,2024-02-05 06:00:00,0.000165,0
F00213692,N381DN,2024-02-05 06:00:00,0.00016,0
F00213693,N410AN,2024-02-05 06:00:00,0.000303,0
F00213694,N438AN,2024-02-05 06:00:00,2.3e-05,0
F00213695,N502SY,2024-02-05 06:00:00,0.088933,1
F00213696,N603AT,2024-02-05 06:00:00,0.000305,0
F00213697,N612UX,2024-02-05 06:00:00,0.02027,0
F00213698,N649AW,2024-02-05 06:00:00,0.00011,0
F00213699,N665DN,2024-02-05 06:00:00,0.000218,0
F00213700,N6714Q,2024-02-05 06:00:00,0.000187,0
F00213701,N680AW,2024-02-05 06:00:00,0.000277,0
F00213702,N682DA,2024-02-05 06:00:00,0.000327,0
F00213703,N712TW,2024-02-05 06:00:00,0.000113,0
F00213704,N754UW,2024-02-05 06:00:00,0.002574,0
F00213705,N767SK,2024-02-05 06:00:00,9.6e-05,0
F00213706,N7722B,2024-02-05 06:00:00,0.000269,0
F00213707,N7732A,2024-02-05 06:00:00,0.002757,0
F00213708,N7882B,2024-02-05 06:00:00,0.001656,0
F00213709,N7887A,2024-02-05 06:00:00,0.028012,0
F00213710,N799AN,2024-02-05 06:00:00,0.000233,0
F00213711,N801AW,2024-02-05 06:00:00,3.1e-05,0
F00213712,N802SK,2024-02-05 06:00:00,0.001846,0
F00213713,N813DN,2024-02-05 06:00:00,0.000197,0
F00213714,N814AW,2024-02-05 06:00:00,0.498348,1
F00213715,N820DX,2024-02-05 06:00:00,0.000434,0
F00213716,N820NN,2024-02-05 06:00:00,5.6e-05,0
F00213717,N823NN,2024-02-05 06:00:00,3e-05,0
F00213718,N825NN,2024-02-05 06:00:00,0.00253,0
F00213719,N826SK,2024-02-05 06:00:00,0.001386,0
F00213720,N8305E,2024-02-05 06:00:00,0.003612,0
F00213721,N834NN,2024-02-05 06:00:00,0.000157,0
F00213722,N838DN,2024-02-05 06:00:00,3.9e-05,0
F00213723,N847NN,2024-02-05 06:00:00,0.000246,0
F00213724,N8502Z,2024-02-05 06:00:00,0.003873,0
F00213725,N8509U,2024-02-05 06:00:00,0.001151,0
F00213726,N8517F,2024-02-05 06:00:00,0.002654,0
F00213727,N852DN,2024-02-05 06:00:00,0.000195,0
F00213728,N8553W,2024-02-05 06:00:00,3.1e-05,0
F00213729,N8570W,2024-02-05 06:00:00,4.5e-05,0
F00213730,N8620H,2024-02-05 06:00:00,7.5e-05,0
F00213731,N8631A,2024-02-05 06:00:00,0.002403,0
F00213732,N8639B,2024-02-05 06:00:00,0.05752,0
F00213733,N8644C,2024-02-05 06:00:00,0.000207,0
F00213734,N8651A,2024-02-05 06:00:00,0.000315,0
F00213735,N866DN,2024-02-05 06:00:00,0.000129,0
F00213736,N8699A,2024-02-05 06:00:00,0.020036,0
F00213737,N8726H,2024-02-05 06:00:00,0.026071,0
F00213738,N8810L,2024-02-05 06:00:00,0.002815,0
F00213739,N8836Q,2024-02-05 06:00:00,0.000342,0
F00213740,N8840Q,2024-02-05 06:00:00,1.9e-05,0
F00213741,N8848Q,2024-02-05 06:00:00,0.330485,1
F00213742,N8861Q,2024-02-05 06:00:00,0.001295,0
F00213743,N8869L,2024-02-05 06:00:00,0.002265,0
F00213744,N8897K,2024-02-05 06:00:00,0.00077,0
F00213745,N902DN,2024-02-05 06:00:00,0.000309,0
F00213746,N912UY,2024-02-05 06:00:00,4.3e-05,0
F00213747,N921AT,2024-02-05 06:00:00,0.003792,0
F00213748,N926AN,2024-02-05 06:00:00,0.000973,0
F00213749,N930AU,2024-02-05 06:00:00,4.7e-05,0
F00213750,N935NN,2024-02-05 06:00:00,3.4e-05,0
F00213751,N936DZ,2024-02-05 06:00:00,7.3e-05,0
F00213752,N938AT,2024-02-05 06:00:00,0.000237,0
